datetime,dew,humidity,precip,precipprob,windspeed_x,cloudcover,visibility,solarenergy,river_discharge,weathercode,apparent_temperature_mean,rain_sum,precipitation_hours,windspeed_y,et0_fao_evapotranspiration
2013-02-01,0.18442622950819673,0.5504587155963301,0.0,0.0,0.407563025210084,0.748447204968944,0.3076923076923077,0.008810572687224655,0.011560693641618491,0.046153846153846156,0.238970588235294,0.0,0.0,0.21787709497206706,0.24358974358974356
2013-02-02,0.16393442622950818,0.4235474006116207,0.0,0.0,0.5294117647058822,0.42236024844720493,0.3846153846153846,0.4581497797356828,0.011560693641618491,0.046153846153846156,0.27205882352941174,0.0,0.0,0.2793296089385475,0.5274725274725274
2013-02-03,0.1024590163934426,0.2889908256880734,0.0,0.0,0.5924369747899159,0.36231884057971014,0.8974358974358974,0.49339207048458145,0.011560693641618491,0.015384615384615385,0.26838235294117635,0.0,0.0,0.32960893854748596,0.5604395604395604
2013-02-04,0.18032786885245902,0.3333333333333333,0.0,0.0,0.3949579831932773,0.29296066252587993,0.641025641025641,0.5374449339207048,0.011560693641618491,0.015384615384615385,0.31249999999999983,0.0,0.0,0.229050279329609,0.4908424908424908
2013-02-05,0.22950819672131148,0.330275229357798,0.0,0.0,0.3949579831932773,0.006211180124223602,0.8974358974358974,0.5814977973568282,0.011560693641618491,0.0,0.3419117647058823,0.0,0.0,0.25698324022346375,0.5476190476190477
2013-02-06,0.30327868852459017,0.3593272171253821,0.0,0.0,0.44117647058823534,0.041407867494824016,0.3846153846153846,0.5903083700440528,0.011560693641618491,0.015384615384615385,0.35661764705882354,0.0,0.0,0.3743016759776536,0.6208791208791209
2013-02-07,0.36475409836065575,0.3577981651376146,0.0,0.0,0.7268907563025211,0.46376811594202894,0.46153846153846145,0.5330396475770924,0.011560693641618491,0.03076923076923077,0.4080882352941176,0.0,0.0,0.4692737430167597,0.5805860805860805
2013-02-08,0.2991803278688525,0.3944954128440366,0.0,0.0,0.9369747899159664,0.5424430641821946,0.5128205128205128,0.27753303964757714,0.011560693641618491,0.7846153846153847,0.2647058823529412,0.00625,0.043478260869565216,0.5027932960893855,0.41575091575091566
2013-02-09,0.03278688524590165,0.22018348623853207,0.0,0.0,0.6050420168067225,0.032091097308488616,0.5128205128205128,0.6916299559471365,0.011560693641618491,0.0,0.1985294117647059,0.0,0.0,0.36871508379888274,0.6135531135531136
2013-02-10,0.04508196721311475,0.22324159021406714,0.0,0.0,0.680672268907563,0.015527950310559006,0.46153846153846145,0.6740088105726871,0.011560693641618491,0.0,0.23529411764705882,0.0,0.0,0.4972067039106145,0.6428571428571428
2013-02-11,0.0,0.1712538226299694,0.0,0.0,0.5756302521008403,0.33850931677018636,0.641025641025641,0.6696035242290749,0.011560693641618491,0.015384615384615385,0.2647058823529412,0.0,0.0,0.34636871508379885,0.6208791208791209
2013-02-12,0.020491803278688492,0.17737003058103967,0.0,0.0,0.5588235294117647,0.9358178053830228,0.8974358974358974,0.5770925110132158,0.011560693641618491,0.015384615384615385,0.31249999999999983,0.0,0.0,0.32960893854748596,0.6336996336996337
2013-02-13,0.11475409836065573,0.2033639143730886,0.0,0.0,0.7268907563025211,0.3250517598343685,0.5641025641025641,0.6651982378854625,0.011560693641618491,0.0,0.34926470588235287,0.0,0.0,0.34078212290502796,0.6575091575091574
2013-02-14,0.12704918032786885,0.21100917431192662,0.0,0.0,0.8613445378151259,0.0,0.46153846153846145,0.6563876651982379,0.011560693641618491,0.0,0.2830882352941177,0.0,0.0,0.36312849162011174,0.6758241758241759
2013-02-15,0.1024590163934426,0.18807339449541277,0.0,0.0,0.546218487394958,0.043478260869565216,0.641025641025641,0.6740088105726871,0.011560693641618491,0.03076923076923077,0.33455882352941174,0.0,0.0,0.4301675977653632,0.7307692307692306
2013-02-16,0.26639344262295084,0.3333333333333333,0.012578616352201259,1.0,0.7268907563025211,0.4202898550724638,0.641025641025641,0.5154185022026432,0.020231213872832388,0.8153846153846154,0.30882352941176466,0.1375,0.30434782608695654,0.8268156424581007,0.4304029304029304
2013-02-18,0.30327868852459017,0.5611620795107033,0.03773584905660377,1.0,0.7100840336134453,0.10351966873706003,0.1282051282051282,0.6828193832599119,0.05491329479768789,0.7846153846153847,0.22426470588235287,0.0125,0.08695652173913043,0.3240223463687151,0.34981684981684974
2013-02-19,0.2418032786885246,0.4342507645259938,0.0,0.0,0.4831932773109244,0.017598343685300208,0.33333333333333326,0.6960352422907488,0.04624277456647399,0.03076923076923077,0.2169117647058823,0.0,0.0,0.3128491620111732,0.510989010989011
2013-02-20,0.22540983606557377,0.3685015290519877,0.0,0.0,0.7436974789915967,0.004140786749482402,0.641025641025641,0.6872246696035241,0.037572254335260125,0.0,0.26838235294117635,0.0,0.0,0.4245810055865922,0.6282051282051282
2013-02-21,0.2418032786885246,0.33486238532110085,0.0,0.0,0.7268907563025211,0.0,0.641025641025641,0.6651982378854625,0.028901734104046256,0.0,0.2977941176470587,0.0,0.0,0.4189944134078213,0.6666666666666667
2013-02-22,0.2418032786885246,0.32415902140672775,0.0,0.0,0.7436974789915967,0.0,0.641025641025641,0.7136563876651982,0.028901734104046256,0.0,0.33455882352941174,0.0,0.0,0.4860335195530726,0.7032967032967032
2013-02-23,0.26639344262295084,0.2966360856269113,0.0,0.0,0.546218487394958,0.016563146997929608,0.5128205128205128,0.6784140969162995,0.028901734104046256,0.0,0.3860294117647058,0.0,0.0,0.4078212290502793,0.7380952380952381
