humidity,precip,windspeed,winddir,sealevelpressure,cloudcover,visibility,moonphase,conditions
60.4,0.0,9.0,173.9,1010.6,78.1,6.7,0.25,0
51.2,0.0,9.0,254.2,1010.4,61.6,6.2,0.32,0
53.1,0.0,9.4,217.8,1010.4,49.0,6.2,0.35,0
52.4,0.0,14.8,201.0,1011.2,3.7,5.7,0.38,2
55.6,0.3,20.5,202.3,1011.0,3.7,6.8,0.42,1
61.4,1.3,18.0,194.8,1008.5,54.4,6.2,0.45,1
77.7,20.4,16.6,179.5,1008.1,50.7,5.7,0.48,1
74.3,1.0,13.7,186.9,1008.9,21.0,5.9,0.5,1
74.5,2.7,21.2,188.9,1007.2,19.4,6.4,0.55,1
77.2,13.5,23.0,188.5,1007.4,27.3,6.9,0.58,1
80.4,18.4,14.8,188.6,1008.5,18.5,6.1,0.62,1
76.2,1.8,15.5,175.0,1008.3,28.0,6.0,0.65,1
73.0,5.0,20.9,187.0,1005.6,45.6,6.4,0.69,1
80.0,2.9,16.9,183.0,1006.3,56.7,6.5,0.75,1
69.3,0.0,11.5,200.9,1008.1,55.7,6.4,0.76,0
68.3,0.0,11.9,205.5,1007.2,30.1,6.2,0.79,0
67.7,0.0,14.0,207.1,1006.4,15.8,6.9,0.83,2
65.2,0.0,13.3,221.4,1004.8,12.6,6.7,0.86,2
65.6,0.0,17.3,212.8,1003.5,22.7,6.7,0.89,0
68.7,0.0,18.7,205.5,1004.2,19.5,7.3,0.93,2
70.9,0.0,15.1,196.6,1005.7,45.9,6.9,0.96,0
66.0,0.3,13.0,206.4,1005.1,10.8,7.8,0.0,1
61.4,0.0,15.1,233.8,1003.3,6.3,7.6,0.03,2
67.3,1.8,18.4,216.3,1003.4,32.5,6.5,0.07,1
65.6,2.3,18.4,204.8,1004.2,9.3,7.6,0.1,1
64.7,2.8,17.3,202.3,1004.8,12.1,6.5,0.13,1
67.1,1.4,18.7,206.7,1006.4,22.4,6.6,0.17,1
64.2,0.2,22.7,208.9,1004.2,30.6,8.9,0.2,1
67.3,1.9,23.4,211.8,1002.5,16.2,7.4,0.23,1
60.6,0.0,21.2,208.8,1002.0,10.9,6.5,0.25,2
65.6,1.1,24.8,202.5,1001.4,19.8,7.9,0.3,1
70.0,6.2,21.6,193.3,1002.8,56.3,7.8,0.33,1
73.2,9.0,17.3,192.3,1004.9,75.0,6.8,0.37,1
71.8,9.8,14.0,200.6,1004.1,68.5,6.8,0.4,1
74.2,7.0,14.8,166.6,1005.5,68.3,6.0,0.44,1
71.0,0.0,6.8,172.5,1005.5,70.7,6.9,0.47,0
60.5,0.0,7.9,297.5,1005.1,34.9,5.3,0.5,0
60.2,0.0,11.5,240.8,1004.1,35.5,6.7,0.54,0
61.6,0.0,16.2,200.1,1004.0,44.7,6.9,0.57,0
68.1,0.0,14.4,184.0,1005.9,60.6,7.1,0.6,0
73.6,0.0,10.4,195.4,1008.1,64.0,6.9,0.64,0
69.9,0.2,16.2,203.1,1005.7,46.4,7.8,0.67,1
70.5,0.2,18.0,202.5,1002.9,57.0,6.9,0.71,1
74.0,0.0,20.7,203.7,1002.4,61.5,6.8,0.75,0
69.4,0.0,18.0,203.1,1001.9,50.6,6.8,0.77,0
69.0,0.3,19.8,204.5,1003.3,60.7,6.9,0.81,1
64.0,0.0,17.3,190.8,1001.3,43.6,7.8,0.84,0
59.9,0.3,16.2,193.5,1000.4,48.2,6.6,0.87,1
65.2,1.5,13.3,175.2,1001.7,53.5,7.6,0.91,1
66.3,0.3,11.9,198.1,1002.3,55.1,7.4,0.94,1
62.6,0.6,14.0,154.7,1002.7,62.5,8.4,0.98,1
63.2,0.8,14.0,195.4,1001.9,74.5,8.8,0.0,1
65.2,0.0,17.6,202.2,1002.1,68.8,8.0,0.04,0
67.3,0.0,19.4,194.5,1001.5,74.5,8.4,0.08,0
66.6,0.0,20.9,184.5,999.6,70.3,6.6,0.11,0
65.2,0.0,19.1,184.7,999.3,73.7,7.4,0.15,0
67.8,0.0,15.5,183.9,1001.1,71.1,7.5,0.18,0
75.6,7.7,16.2,184.3,1002.6,70.1,7.6,0.22,1
79.9,8.7,11.9,186.3,1000.1,81.1,6.0,0.25,1
72.5,0.0,13.3,189.2,1001.5,82.3,7.2,0.25,0
72.0,0.0,11.2,189.9,1000.1,84.2,7.2,0.32,0
71.8,1.2,18.0,201.9,998.7,75.0,6.0,0.35,1
76.6,7.5,14.4,190.9,999.1,81.1,6.5,0.39,1
74.7,3.7,19.8,178.9,998.6,71.4,7.8,0.42,1
76.3,0.0,20.9,187.2,996.5,85.8,6.7,0.46,0
71.1,1.7,24.1,190.5,996.2,75.1,8.1,0.5,1
76.6,2.0,16.6,167.4,997.9,75.0,7.6,0.53,1
74.8,1.4,14.0,147.1,998.3,62.3,7.9,0.56,1
76.0,2.0,14.4,164.7,998.0,61.8,6.4,0.59,1
70.2,1.0,11.9,203.4,998.9,54.4,7.9,0.62,1
73.6,0.8,15.8,204.2,998.0,69.6,7.4,0.66,1
73.0,0.5,17.3,183.2,997.2,73.9,7.3,0.69,1
75.5,0.2,18.7,164.5,997.6,63.4,7.7,0.75,1
69.7,0.0,16.2,172.5,999.7,71.9,7.2,0.76,0
72.0,0.0,19.1,186.8,1000.7,74.1,7.5,0.79,0
74.1,0.0,24.8,205.8,1000.6,81.7,7.0,0.82,0
77.2,1.9,28.1,203.6,998.2,85.3,7.7,0.86,1
81.6,5.6,24.5,207.8,996.9,90.1,6.9,0.89,1
72.6,0.9,15.1,194.2,997.4,85.6,7.4,0.92,1
67.9,0.9,16.2,169.1,997.8,60.4,7.6,0.95,1
72.6,3.2,15.5,153.9,995.5,87.8,7.4,0.0,1
76.4,14.2,16.9,207.3,993.8,81.5,6.3,0.02,1
83.2,27.5,23.4,166.5,995.2,92.4,6.7,0.06,1
82.1,11.6,25.2,172.3,997.2,84.1,6.7,0.09,1
82.5,18.2,22.7,199.5,998.0,90.2,6.7,0.13,1
88.5,29.1,23.0,217.9,997.5,93.8,6.1,0.16,1
88.4,8.3,26.3,213.4,1000.3,92.8,5.9,0.2,1
82.7,1.2,23.8,212.7,1003.3,83.4,24.1,0.23,1
84.5,0.0,20.9,204.9,1003.3,93.7,24.1,0.25,3
75.8,0.0,13.3,209.3,1003.3,41.5,24.1,0.3,0
77.5,0.0,10.1,195.4,997.0,75.2,24.1,0.34,0
81.8,0.1,11.5,196.8,1003.3,69.4,24.1,0.38,1
78.1,0.8,21.6,141.1,1003.3,78.8,24.1,0.41,1
79.1,3.9,25.2,125.3,1003.3,51.3,24.1,0.45,1
78.4,7.4,25.6,172.9,1003.3,92.9,24.1,0.48,1
82.9,9.9,20.2,174.9,996.4,89.3,6.0,0.5,1
86.7,19.0,22.0,180.8,998.3,90.2,6.2,0.55,1
86.0,13.1,16.9,173.1,998.6,91.6,7.1,0.58,1
85.8,11.5,13.3,188.6,997.1,90.6,6.5,0.61,1
84.5,3.8,18.7,177.2,996.8,81.4,6.1,0.64,1
83.3,5.0,22.7,166.3,999.1,53.4,5.7,0.68,1
84.9,9.2,19.8,188.7,1002.6,68.5,6.7,0.71,1
84.6,10.2,16.6,206.7,1002.7,74.9,6.7,0.75,1
87.2,7.0,16.6,209.3,1002.2,90.0,7.0,0.77,1
87.0,8.3,18.7,213.9,1001.5,91.8,6.2,0.81,1
91.3,14.6,17.3,206.6,1000.4,91.3,6.0,0.84,1
87.8,16.9,24.1,195.7,1001.1,95.2,5.9,0.87,1
87.0,10.5,19.8,198.2,1003.0,92.5,6.7,0.9,1
89.3,11.4,22.0,217.7,1002.7,90.8,6.6,0.94,1
88.7,40.0,22.0,223.8,1000.0,94.2,6.4,0.97,1
86.2,7.6,12.6,218.8,998.0,96.0,5.6,0.0,1
85.7,5.9,17.6,149.5,997.9,84.7,6.3,0.04,1
85.1,6.4,19.8,154.6,999.5,92.1,6.7,0.07,1
84.9,7.0,23.0,189.7,999.7,90.0,7.4,0.11,1
88.0,8.1,20.9,203.6,998.1,90.0,6.5,0.15,1
87.8,5.6,18.7,203.2,997.4,92.6,5.8,0.18,1
87.0,6.3,14.0,174.1,998.1,92.3,6.5,0.22,1
88.4,9.7,25.6,153.3,997.3,86.6,6.4,0.25,1
90.9,20.0,24.5,183.9,996.8,94.8,6.2,0.29,1
92.2,14.6,22.0,185.0,998.1,94.6,6.7,0.32,1
91.3,10.4,17.6,205.1,998.6,91.0,5.8,0.36,1
91.2,5.8,15.8,179.2,997.7,82.5,6.7,0.4,1
88.4,7.1,24.5,199.9,997.3,89.1,6.8,0.43,1
86.8,4.4,18.7,198.2,997.5,93.5,6.6,0.47,1
90.7,2.4,16.2,187.1,998.1,90.6,6.5,0.5,1
88.2,5.1,20.5,123.1,997.1,83.1,6.2,0.54,1
89.2,10.8,17.6,137.9,996.3,87.9,6.5,0.57,1
87.4,15.5,20.5,157.7,998.1,67.5,6.2,0.6,1
87.4,7.7,21.2,169.7,1003.3,83.7,24.1,0.63,1
90.5,6.3,13.7,182.8,999.5,89.7,6.1,0.66,1
92.1,8.6,15.1,224.0,1000.3,83.5,5.4,0.7,1
