datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,river_discharge,apparent_temperature_mean,precipitation_sum ,rain_sum ,precipitation_hours,et0_fao_evapotranspiration
2012-01-01,0.6373507057546146,0.6662452591656132,0.6538922155688625,0.5309090909090908,0.574712643678161,0.5769633507853404,0.6564417177914111,0.5793650793650794,0.0,0.0,0.0,0.04524886877828055,0.008615897720956087,0.7921146953405085,0.796086508753862,0.16806722689075632,0.2651914295749912,0.2591093117408907,0.375,0.038255533731734154,0.30067567567567566,0.0033200531208499337,0.0033200531208499337,0.08333333333333333,0.21578298397040696
2012-01-02,0.5678610206297504,0.7016434892541088,0.621556886227545,0.4754545454545455,0.6039707419017765,0.5486910994764399,0.7018404907975461,0.7711640211640212,0.0013994169096209915,1.0,0.4167,0.0904977375565611,0.023068371317398556,0.8064516129032313,0.5849639546858908,0.20168067226890757,0.2588689848963822,0.25506072874493924,0.375,0.03776703049551894,0.2668918918918919,0.03452855245683931,0.03452855245683931,0.4583333333333333,0.10110974106041924
2012-01-03,0.6069489685124865,0.6687737041719343,0.6335329341317366,0.5081818181818181,0.5768025078369907,0.5591623036649216,0.6981595092024541,0.7394179894179895,0.0004664723032069971,1.0,0.2917,0.04524886877828055,0.8946637020566981,0.7562724014336979,0.29454170957775494,0.15966386554621848,0.40990516332982085,0.40485829959514164,0.625,0.03752452013975688,0.29391891891891886,0.006640106241699867,0.006640106241699867,0.16666666666666666,0.09987669543773121
2012-01-04,0.6123778501628665,0.629582806573957,0.6311377245508982,0.5127272727272727,0.5444096133751307,0.5570680628272252,0.6699386503067486,0.6679894179894181,0.0,0.0,0.0,0.03506787330316742,0.8893829905503058,0.7813620071684682,0.06282183316168898,0.15966386554621848,0.3712680014049877,0.368421052631579,0.5,0.03692315144423464,0.29729729729729737,0.0,0.0,0.0,0.16892725030826145
2012-01-05,0.6264929424538546,0.5979772439949431,0.6431137724550898,0.5245454545454544,0.5182863113897598,0.5675392670157069,0.6822085889570553,0.6613756613756615,0.00011661807580174928,1.0,0.0833,0.03506787330316742,0.9986103390772653,0.8136200716845963,0.10298661174047374,0.20168067226890757,0.37337548296452416,0.368421052631579,0.5,0.035740992608183045,0.29054054054054046,0.0,0.0,0.0,0.1430332922318126
2012-01-06,0.5928338762214985,0.6687737041719343,0.644311377245509,0.4963636363636364,0.5768025078369907,0.5685863874345549,0.7079754601226994,0.7222222222222223,0.0015743440233236153,1.0,0.5,0.0407239819004525,0.19093941078376878,0.8351254480286769,0.31822863027806386,0.1764705882352941,0.25465402177730945,0.2510121457489879,0.5,0.03447161235827707,0.33445945945945943,0.004648074369189907,0.004648074369189907,0.25,0.16276202219482122
2012-01-07,0.6167209554831706,0.6750948166877371,0.644311377245509,0.5163636363636364,0.5820271682340649,0.5685863874345549,0.7067484662576689,0.724867724867725,0.001676384839650146,1.0,0.2917,0.04298642533936653,0.13146192329071707,0.9103942652329806,0.15550978372811536,0.2184873949579832,0.368809272918862,0.36032388663967607,0.5,0.03356837209066721,0.33783783783783783,0.0013280212483399736,0.0013280212483399736,0.041666666666666664,0.17879161528976573
2012-01-08,0.6264929424538546,0.6687737041719343,0.6538922155688625,0.5245454545454544,0.5768025078369907,0.5769633507853404,0.6957055214723926,0.6719576719576721,0.001282798833819242,1.0,0.20829999999999999,0.0407239819004525,0.12812673707615344,0.8996415770609332,0.4016477857878476,0.15126050420168063,0.3958552862662452,0.3846153846153846,0.5,0.033012276216129274,0.3445945945945946,0.0,0.0,0.0,0.15782983970406905
2012-01-09,0.6123778501628665,0.6687737041719343,0.6455089820359282,0.5127272727272727,0.5768025078369907,0.5696335078534033,0.7226993865030675,0.7645502645502646,0.003556851311953353,1.0,0.25,0.07013574660633486,0.19872151195108395,0.8387096774193594,0.46755921730175076,0.20168067226890757,0.30382859149982444,0.2995951417004048,0.5,0.03246251220466607,0.31756756756756754,0.03718459495351926,0.03718459495351926,0.4583333333333333,0.030826140567200996
2012-01-10,0.6026058631921826,0.6750948166877371,0.6407185628742516,0.5045454545454546,0.5820271682340649,0.5654450261780105,0.7177914110429449,0.7698412698412698,0.0008746355685131195,1.0,0.5,0.04298642533936653,0.8904947192884936,0.8494623655913998,0.4325437693099897,0.20168067226890757,0.4267650158061117,0.4170040485829959,0.5,0.03159599674288963,0.32094594594594594,0.0013280212483399736,0.0013280212483399736,0.041666666666666664,0.15782983970406905
2012-01-11,0.5971769815418025,0.649810366624526,0.6239520958083834,0.5,0.5611285266457681,0.5507853403141363,0.6650306748466258,0.6706349206349206,0.0,0.0,0.0,0.07013574660633486,0.9196775986659255,0.8566308243727647,0.20803295571575695,0.20168067226890757,0.4081489286968739,0.40485829959514164,0.5,0.030535093084719057,0.22635135135135132,0.0,0.0,0.0,0.2540073982737362
2012-01-12,0.5635179153094463,0.5562579013906448,0.5520958083832336,0.47181818181818175,0.4535005224660398,0.4869109947643979,0.5312883435582823,0.5370370370370371,0.0,0.0,0.0,0.07352941176470588,0.8479710950528072,0.8530465949820822,0.00411946446961895,0.22689075630252103,0.4935019318580963,0.49392712550607276,0.625,0.029600826688043036,0.10810810810810806,0.0,0.0,0.0,0.3045622688039458
