datetime,tempmax_x,tempmin_x,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windspeed_x,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,river_discharge,tempmax_y,tempmin_y,apparent_temperature_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_y,et0_fao_evapotranspiration
2017-11-01,30.0,18.5,23.3,31.9,18.5,23.7,20.0,82.7,0.0,0.0,0.0,8.6,23.0,1013.6,5.6,5.8,223.1,19.4,8.0,252.51,28.0,19.0,26.2,0.0,0.0,0.0,9.2,3.54
2018-11-01,30.1,21.4,25.7,33.2,21.4,26.8,21.6,79.2,0.0,0.0,0.0,8.3,123.3,1014.1,9.9,5.0,225.2,19.5,8.0,111.72,29.4,19.9,29.5,0.1,0.1,1.0,6.7,3.38
2019-11-01,32.1,21.8,25.3,35.0,21.8,26.3,21.7,81.8,0.0,0.0,0.0,9.7,326.5,1010.6,46.1,4.0,204.4,17.6,8.0,169.61,29.9,21.2,29.2,0.0,0.0,0.0,8.5,3.64
2014-12-01,29.7,15.7,21.4,28.7,15.7,21.3,15.3,72.1,0.0,0.0,0.0,7.9,356.9,1011.2,26.0,3.1,162.9,13.9,6.0,73.99,27.2,17.8,23.8,0.0,0.0,0.0,9.0,2.9
2015-12-01,30.4,18.7,24.6,34.6,18.7,25.1,19.9,76.5,0.0,0.0,0.0,9.0,308.7,1013.7,51.9,4.1,144.6,12.4,5.0,87.31,29.4,21.6,28.7,0.0,0.0,0.0,6.9,2.62
2017-12-01,27.6,12.6,19.3,28.0,12.6,19.3,16.0,83.4,0.0,0.0,0.0,10.4,342.6,1013.2,6.7,5.0,192.2,16.7,7.0,135.46,26.5,14.6,20.9,0.0,0.0,0.0,9.4,3.28
2018-12-01,28.9,17.2,22.2,28.1,17.2,22.1,15.3,68.3,0.0,0.0,0.0,6.1,347.3,1014.8,17.4,5.0,173.6,14.9,7.0,80.1,27.0,18.3,23.2,0.0,0.0,0.0,9.3,3.17
2019-12-01,27.6,17.0,21.4,28.0,17.0,21.5,18.0,82.2,0.0,0.0,0.0,11.2,355.0,1014.9,44.1,4.7,157.7,13.6,6.0,115.68,27.7,17.4,24.4,0.0,0.0,0.0,8.0,3.02
2015-01-02,31.0,18.5,23.6,31.0,18.5,23.7,18.4,76.0,1.3,100.0,25.0,13.3,106.7,1015.0,73.4,4.5,167.2,14.5,6.0,72.62,27.4,18.9,25.4,0.4,0.4,3.0,13.7,2.7
2016-01-02,27.9,12.2,19.1,26.8,12.2,19.0,11.3,64.6,0.0,0.0,0.0,11.2,321.5,1017.9,0.0,3.7,161.8,14.0,6.0,73.82,25.9,14.6,20.6,0.0,0.0,0.0,10.2,3.23
2017-01-02,27.1,13.6,19.7,27.7,13.6,19.7,14.2,73.4,0.0,0.0,0.0,10.1,338.2,1014.7,0.1,4.1,174.3,14.9,7.0,74.16,26.1,14.7,21.1,0.0,0.0,0.0,8.8,3.13
2018-01-02,22.9,14.3,18.0,22.9,14.3,18.0,14.7,82.2,0.0,0.0,0.0,9.7,306.0,1011.3,43.7,4.9,126.6,11.0,5.0,88.95,24.5,14.5,19.9,0.0,0.0,0.0,11.8,2.79
2019-01-02,27.0,10.8,18.0,26.3,10.8,18.0,10.2,65.1,0.0,0.0,0.0,11.5,340.1,1018.5,0.0,4.6,187.7,16.2,7.0,77.52,25.3,11.9,17.8,0.0,0.0,0.0,9.7,3.23
2015-02-02,28.6,11.1,18.6,27.1,11.1,18.5,6.6,50.9,0.0,0.0,0.0,12.2,344.9,1018.4,0.0,4.9,211.0,18.3,8.0,0.41,25.4,12.5,18.6,0.0,0.0,0.0,9.7,3.78
2016-02-02,32.0,17.9,23.6,30.3,17.9,23.3,13.7,58.6,0.0,0.0,0.0,9.4,302.5,1015.0,19.7,4.4,206.5,17.8,8.0,0.45,27.3,17.7,25.0,0.0,0.0,0.0,8.3,3.06
2017-02-02,28.5,13.1,20.0,27.4,13.1,19.9,11.8,63.2,0.0,0.0,0.0,12.6,352.1,1016.8,0.0,4.3,188.6,16.3,7.0,0.5,26.6,15.4,20.9,0.0,0.0,0.0,12.0,3.75
2018-02-02,27.5,14.6,20.3,27.2,14.6,20.2,12.3,62.5,0.0,0.0,0.0,6.8,334.4,1011.6,0.2,5.0,188.9,16.3,7.0,1.53,26.3,15.1,20.7,0.0,0.0,0.0,8.7,3.56
2019-02-02,30.7,12.6,21.2,28.7,12.6,20.8,5.6,40.2,0.0,0.0,0.0,11.5,319.0,0.0,0.2,0.0,214.4,18.4,8.0,0.53,27.5,13.6,20.6,0.0,0.0,0.0,10.2,3.92
2015-03-02,36.6,20.0,27.2,35.1,20.0,26.7,14.6,52.5,0.0,0.0,0.0,14.4,253.9,1013.2,3.3,4.3,261.4,22.6,9.0,0.37,31.2,19.6,27.3,0.0,0.0,0.0,17.3,4.96
2016-03-02,33.4,20.2,25.9,33.7,20.2,26.2,19.2,70.6,0.3,100.0,12.5,10.4,237.7,1014.8,15.0,5.0,238.5,20.5,8.0,9.33,30.3,20.8,29.5,0.0,0.0,0.0,8.8,3.94
2017-03-02,36.6,16.9,26.2,34.5,16.9,25.7,14.2,55.6,0.0,0.0,0.0,12.2,243.4,1011.0,1.9,4.1,253.5,21.9,9.0,0.44,32.7,18.2,27.5,0.0,0.0,0.0,13.1,5.16
2018-03-02,35.7,18.9,26.6,36.3,18.9,26.7,16.2,58.5,0.0,0.0,0.0,12.6,270.7,1008.8,0.3,4.3,243.4,21.0,8.0,0.53,32.4,20.9,29.0,0.0,0.0,0.0,11.6,4.94
2019-03-02,27.4,13.3,20.5,26.7,13.3,20.4,9.6,52.8,0.0,0.0,0.0,12.6,357.7,0.0,25.5,0.0,272.1,23.3,9.0,30.19,25.6,14.1,19.3,0.0,0.0,0.0,11.2,4.58
2015-04-02,37.0,24.2,29.6,44.1,24.2,31.9,22.8,71.3,3.4,100.0,50.0,19.1,205.5,1006.0,23.3,6.9,278.3,24.1,9.0,0.56,33.4,26.1,32.8,0.4,0.4,1.0,21.6,5.07
2016-04-02,35.2,23.3,28.3,38.4,23.3,30.7,23.1,76.1,1.3,100.0,45.83,13.8,188.8,1009.3,29.0,6.1,259.3,22.5,9.0,31.51,29.9,21.6,29.6,23.5,23.5,12.0,14.0,2.82
2017-04-02,35.6,24.7,29.1,41.3,24.7,32.3,23.7,75.1,0.0,0.0,0.0,23.4,193.7,1006.0,29.5,6.4,265.8,23.0,9.0,12.03,32.6,25.7,31.1,0.1,0.1,1.0,26.1,4.3
2018-04-02,30.6,21.8,25.8,31.4,21.8,26.2,19.8,71.7,1.4,100.0,50.0,11.6,312.9,1011.3,86.6,5.1,114.3,9.8,4.0,5.68,30.8,21.7,29.7,0.0,0.0,0.0,9.7,3.82
2019-04-02,36.9,23.8,29.2,38.3,23.8,30.2,21.5,69.6,0.0,0.0,0.0,17.6,204.6,0.0,4.3,0.0,267.6,23.2,9.0,4.56,32.4,20.7,29.0,17.8,17.8,15.0,19.3,3.75
2015-05-02,33.5,25.8,28.9,42.9,25.8,32.7,24.8,79.9,1.7,100.0,70.83,16.6,189.4,1006.9,71.4,6.2,150.0,12.9,5.0,128.12,32.0,26.2,33.8,0.8,0.8,3.0,16.9,4.27
2017-05-02,33.9,21.1,28.2,38.8,21.1,30.3,22.9,75.6,10.8,100.0,25.0,10.8,215.3,1010.5,37.2,6.3,233.2,20.0,8.0,100.39,32.4,24.4,33.6,0.0,0.0,0.0,9.3,4.09
2018-05-02,34.7,22.2,27.8,40.2,22.2,30.3,23.6,79.8,2.8,100.0,62.5,10.8,178.0,1008.0,29.4,6.3,243.3,21.1,8.0,188.23,31.0,24.0,30.6,11.1,11.1,8.0,11.2,3.5
2019-05-02,37.8,27.5,31.8,42.7,31.6,36.7,23.7,65.1,0.0,0.0,0.0,20.9,168.8,0.0,41.2,0.0,268.8,23.2,9.0,84.31,33.9,27.2,35.1,1.6,1.6,5.0,15.8,4.34
2015-06-02,37.0,27.0,31.6,47.2,30.7,38.0,24.9,69.8,0.0,0.0,0.0,17.3,203.8,1004.9,50.9,7.7,233.2,20.1,7.0,90.62,35.0,27.7,36.3,1.0,1.0,3.0,19.0,5.42
2017-06-02,32.8,24.2,28.8,43.7,24.2,35.3,26.5,88.1,41.6,100.0,100.0,18.4,185.2,1003.9,78.2,5.6,142.0,12.2,5.0,152.46,31.3,28.1,34.6,38.0,38.0,10.0,18.6,3.24
2018-06-02,35.0,25.3,28.5,43.1,25.3,32.8,25.6,85.4,29.9,100.0,95.83,9.7,188.0,1005.1,62.5,6.7,151.0,12.9,5.0,221.84,30.8,25.6,33.4,18.7,18.7,11.0,10.2,2.73
2019-06-02,34.6,24.6,29.2,42.3,24.6,34.4,25.5,81.6,13.6,100.0,95.83,22.3,169.8,1004.5,75.1,4.7,250.7,21.7,8.0,140.58,32.3,26.4,34.2,11.0,11.0,10.0,12.0,2.89
2015-07-02,30.8,25.3,28.0,40.4,25.3,33.3,26.6,92.4,28.6,100.0,100.0,16.2,227.6,1003.5,75.5,5.8,151.4,12.9,5.0,346.54,30.9,25.5,34.0,8.7,8.7,13.0,10.2,2.77
2017-07-02,31.9,26.9,28.8,42.2,31.1,36.0,27.0,90.4,18.5,100.0,100.0,19.4,200.5,998.1,93.6,5.9,177.3,15.3,6.0,233.42,29.3,26.4,33.0,11.9,11.9,19.0,13.8,1.98
2018-07-02,32.9,26.5,28.8,43.5,26.5,34.8,26.6,88.6,5.2,100.0,100.0,20.2,204.5,1001.5,84.7,5.7,211.8,18.2,7.0,247.89,30.9,26.2,33.3,16.2,16.2,13.0,19.0,3.19
2019-07-02,32.9,27.2,29.4,44.6,31.9,37.5,27.2,88.4,11.0,100.0,100.0,26.3,145.0,997.4,73.4,5.3,215.5,18.7,7.0,199.45,31.3,26.3,33.2,10.5,10.5,17.0,22.7,3.6
2015-08-02,29.7,25.5,27.3,37.6,25.5,30.6,25.9,92.0,23.8,100.0,87.5,22.0,164.0,1002.6,90.5,7.0,199.4,17.2,7.0,618.44,29.7,25.0,31.4,2.8,2.8,8.0,19.8,2.61
2017-08-02,33.8,26.9,29.1,47.1,31.1,36.9,27.2,90.1,14.2,100.0,100.0,9.7,205.5,1001.4,90.2,5.9,174.2,14.8,6.0,347.34,32.9,26.6,35.2,26.0,26.0,19.0,9.7,2.81
2018-08-02,31.5,25.9,27.8,38.6,25.9,31.7,25.7,88.5,12.3,100.0,100.0,20.2,217.3,1000.9,93.2,6.0,229.4,19.8,8.0,355.45,30.8,25.4,32.5,5.5,5.5,13.0,18.3,3.38
2019-08-02,35.4,25.8,28.5,49.0,25.8,33.6,26.1,88.0,5.8,100.0,62.5,15.8,146.8,999.4,70.3,5.4,157.2,13.7,4.0,190.43,32.2,26.4,34.5,2.3,2.3,7.0,14.8,4.35
2014-09-02,32.0,25.1,27.5,40.8,25.1,30.6,25.5,89.6,6.6,100.0,100.0,12.2,157.7,1004.5,72.1,6.5,182.0,15.7,6.0,254.86,28.8,24.5,31.1,8.8,8.8,14.0,14.7,2.52
2015-09-02,32.0,25.8,28.0,43.8,25.8,33.0,26.2,90.4,17.1,100.0,100.0,9.0,220.8,1002.6,86.4,6.8,124.1,10.5,4.0,475.43,30.8,25.4,33.9,9.6,9.6,12.0,13.2,2.47
2017-09-02,31.1,25.8,27.7,40.9,25.8,31.9,26.2,91.8,37.0,100.0,100.0,14.0,218.9,1003.4,92.6,6.2,162.6,14.1,6.0,336.29,30.0,25.3,32.8,6.0,6.0,14.0,13.1,1.98
2018-09-02,30.8,26.1,27.9,39.8,26.1,33.0,26.6,92.9,22.2,100.0,100.0,13.7,170.7,1003.2,78.6,5.6,95.7,8.1,3.0,230.74,29.7,25.3,32.1,11.2,11.2,16.0,17.3,2.55
2019-09-02,35.1,26.5,29.3,45.1,26.5,36.0,26.7,86.9,18.4,100.0,100.0,12.6,136.0,1000.6,80.9,5.2,260.7,22.5,8.0,217.27,31.9,25.9,34.5,1.6,1.6,10.0,12.0,4.16
2014-10-02,33.8,26.1,29.2,41.9,26.1,33.4,24.5,76.7,0.2,100.0,8.33,7.2,216.8,1009.8,41.3,6.2,233.0,20.3,8.0,178.47,31.8,25.4,34.7,2.0,2.0,7.0,4.8,3.65
2015-10-02,35.4,26.2,28.4,47.3,26.2,33.6,26.5,90.0,4.8,100.0,87.5,8.6,242.8,1010.0,73.1,6.1,88.7,7.7,3.0,289.4,31.8,26.2,35.2,2.2,2.2,7.0,8.3,3.13
2017-10-02,32.2,25.9,27.7,41.2,25.9,31.8,26.4,93.0,12.0,100.0,100.0,11.2,167.8,1006.8,81.7,6.4,92.6,7.8,3.0,330.13,30.1,24.8,32.8,1.9,1.9,8.0,11.9,2.73
2018-10-02,35.0,24.2,28.5,39.9,24.2,32.0,24.4,80.2,0.0,0.0,0.0,11.2,249.3,1009.3,34.4,5.5,229.7,19.6,8.0,161.18,32.7,24.6,33.8,0.0,0.0,0.0,8.7,4.26
2019-10-02,34.1,24.7,28.1,42.1,24.7,32.1,25.4,85.9,42.3,100.0,100.0,11.2,256.0,1008.5,83.1,4.9,228.8,19.9,8.0,196.24,31.1,24.2,32.2,5.8,5.8,6.0,10.5,2.97
2014-11-02,31.8,19.7,24.9,44.3,19.7,26.1,21.1,81.0,0.0,0.0,0.0,8.6,330.4,1011.5,33.8,6.2,217.5,18.8,8.0,102.28,29.9,19.8,27.6,0.0,0.0,0.0,9.5,3.77
2015-11-02,29.3,21.8,25.4,32.5,21.8,26.5,22.2,83.5,0.9,100.0,37.5,6.8,70.8,1014.1,24.8,5.4,223.2,19.3,8.0,161.18,27.2,21.3,27.6,1.8,1.8,8.0,12.0,2.25
2017-11-02,30.1,18.7,23.8,32.6,18.7,24.3,19.9,79.9,0.0,0.0,0.0,9.4,3.0,1011.8,19.6,5.6,228.9,19.8,8.0,246.17,28.6,18.9,26.2,0.0,0.0,0.0,8.6,3.7
2018-11-02,29.9,22.2,25.5,32.8,22.2,26.5,21.7,81.0,0.0,0.0,0.0,7.9,211.9,0.0,6.5,0.0,218.2,18.9,8.0,109.41,29.2,22.2,30.1,0.4,0.4,2.0,8.9,3.26
2019-11-02,32.2,20.0,25.2,35.1,20.0,26.3,22.0,84.0,0.0,0.0,0.0,10.4,335.7,1010.7,18.0,4.2,224.1,19.5,8.0,163.44,29.9,21.4,29.3,0.0,0.0,0.0,10.8,3.55
2014-12-02,28.4,16.1,21.1,28.3,16.1,21.0,15.5,73.9,0.0,0.0,0.0,9.4,313.8,1011.9,50.0,3.4,146.4,12.5,5.0,73.82,27.1,18.3,23.6,0.0,0.0,0.0,9.6,3.2
2015-12-02,28.9,20.9,24.7,31.3,20.9,25.1,20.0,77.0,0.0,0.0,0.0,6.1,286.7,1013.6,70.6,3.0,110.3,9.4,5.0,85.9,27.7,21.8,28.6,1.3,1.3,4.0,6.1,1.38
2017-12-02,29.1,13.9,20.4,28.9,13.9,20.4,16.5,79.8,0.0,0.0,0.0,9.0,353.5,1014.0,4.0,5.1,195.7,16.9,7.0,132.35,26.8,14.4,20.9,0.0,0.0,0.0,8.7,3.14
2018-12-02,29.2,16.6,22.1,28.3,16.6,21.9,14.6,66.4,0.0,0.0,0.0,9.0,343.8,1013.1,50.3,5.0,181.1,15.6,7.0,79.91,26.9,17.5,23.0,0.0,0.0,0.0,9.8,3.09
2019-12-02,27.6,16.2,20.7,27.4,16.2,20.7,16.8,80.4,0.0,0.0,0.0,8.6,344.6,1015.1,21.4,5.1,162.1,14.1,6.0,113.02,26.8,16.3,22.9,0.0,0.0,0.0,9.7,3.11
