,Mean Temperature Day,Mean Temperature Night,year,.geo,District
50,269.0561495528209,150.18196489812385,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Barguna
51,208.45222244637216,133.12406697599351,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Barguna
52,271.9557528074778,140.8248940891668,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Barguna
53,270.57238921390626,137.0644206845539,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Barguna
54,230.45320870853752,136.9652722367871,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Barishal
55,233.83836575565897,122.0341905863909,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Barishal
56,254.4995807926828,129.22248475609754,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Barishal
57,266.6470610174548,122.08253766970007,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Barishal
58,246.20967680098144,118.52892688724452,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Barishal
59,243.9558375247676,143.3039932937052,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Barishal
60,244.1981055480379,132.94560216508793,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Barishal
61,237.70986937079672,135.55469877821196,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Barishal
62,247.5523506699977,151.89968960557198,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Barishal
63,233.011174665707,119.9851888329103,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Barishal
64,231.55527002002944,104.93575450663232,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Barishal
65,245.1184974570501,143.4858435785512,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Barishal
66,237.07785411839905,149.13541583446508,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Barishal
67,258.5124659291325,130.81798140131474,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Barishal
68,259.6235011990408,157.1342525979217,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Barishal
69,203.2046362909673,114.77454036770578,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Barishal
70,264.4513988808951,140.700759392486,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Barishal
71,255.7367306155074,135.79620303756988,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Barishal
72,235.97364560410776,148.26265325369386,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Bhola
73,250.96090880796768,130.52016129032265,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Bhola
74,264.9793107060549,119.10852713178296,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Bhola
75,269.78304664497125,135.0814608192572,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Bhola
76,257.7186156266388,125.2422128998427,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Bhola
77,249.0589614042398,145.65836762331375,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Bhola
78,237.9361402410392,134.9135493295769,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Bhola
79,235.09303928325292,149.0872730058999,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Bhola
80,265.9100820267884,157.29415429342754,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Bhola
81,251.03296300178175,116.05759354365372,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Bhola
82,235.57422588898748,93.37277426766228,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Bhola
83,250.2225066557444,142.8075465902109,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Bhola
84,243.0286734693877,150.21058006535955,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Bhola
85,260.2621334423213,137.76147867880144,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Bhola
86,262.816746950907,161.42907656041822,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Bhola
87,203.50107703354192,138.5484267705237,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Bhola
88,274.90888592805175,146.82971200163985,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Bhola
89,263.48949472173814,152.56333914112938,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Bhola
90,232.49374299589095,119.84933383140334,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Bogura
91,227.45737228771563,108.44641969169577,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Bogura
92,275.9487426864184,124.96007095730118,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Bogura
93,288.3566303809995,114.46245670460172,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Bogura
94,264.5442320861609,99.06623918321613,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Bogura
95,253.62551530293564,131.41346033728922,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Bogura
96,251.19807380625855,117.93227153721487,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Bogura
97,211.16836441677012,111.65447510806162,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Bogura
98,248.6875716898659,125.05139969618996,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Bogura
99,278.37914293716733,84.27784520586316,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Bogura
100,237.9937120622569,95.36940077821016,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Bogura
101,249.69548158460964,122.69845589165924,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Bogura
102,260.5688815831069,138.66709869128152,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Bogura
103,264.8680428616453,121.93819728963128,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Bogura
104,260.4002711565142,133.68003531340648,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Bogura
105,237.76223357296,141.34320216925218,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Bogura
106,276.5195169630471,115.23486568293607,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Bogura
107,221.5001576491362,123.77998486568298,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Bogura
108,253.19245960502684,125.9085406514491,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Brahmanbaria
109,243.088280529068,120.4361144101345,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Brahmanbaria
110,274.109526581296,133.24330616996502,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Brahmanbaria
111,295.5676807547896,117.23038413401366,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Brahmanbaria
112,257.7722412849968,111.0907056541846,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Brahmanbaria
113,266.7212608783645,140.60342036025094,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Brahmanbaria
114,258.21718252518383,119.95151103919824,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Brahmanbaria
115,257.9377226669135,133.09966224031834,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Brahmanbaria
116,257.8540007961782,135.7767217356688,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Brahmanbaria
