datetime,Unnamed: 0.1,name,tempmax_x,tempmin_x,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed_x,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,Unnamed: 0,weathercode,tempmax_y,tempmin_y,temperature_2m_mean,apparent_temperature_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_y,et0_fao_evapotranspiration,river_discharge
01-02-2015,761,Naryanganj ,81.2,46.3,62.2,79.6,43.1,61.3,37.9,47.0,0.0,0,0.0,,,,,7.4,81.0,1017.5,0.0,2.5,239.6,20.7,9,,2015-02-01T06:48:45,2015-02-01T17:56:34,0.41,Clear,Clear conditions throughout the day.,clear-day,"42675099999,remote",1857,0,22.9,11.8,17.5,16.9,0.0,0.0,0.0,11.0,3.43,110.69
01-02-2016,1126,Naryanganj ,89.7,57.3,70.3,85.7,57.3,69.7,47.0,48.4,0.0,0,0.0,,,,,7.2,6.6,1016.3,0.8,3.6,234.3,20.2,8,,2016-02-01T06:48:50,2016-02-01T17:56:24,0.75,Clear,Clear conditions throughout the day.,clear-day,"42675099999,42776099999,remote",2222,3,26.9,16.3,21.4,22.7,0.0,0.0,0.0,10.9,3.25,119.5
01-02-2017,1492,Naryanganj ,87.9,53.0,67.4,84.2,53.0,66.9,40.8,44.6,0.0,0,0.0,,,,,7.2,60.9,1016.1,0.0,3.3,239.3,20.7,8,,2017-02-01T06:48:32,2017-02-01T17:56:53,0.15,Clear,Clear conditions throughout the day.,clear-day,"42675099999,42776099999,remote",2588,0,26.0,14.4,20.3,20.7,0.0,0.0,0.0,10.2,3.66,118.67
01-02-2018,1857,Naryanganj ,87.5,53.6,68.2,83.9,53.6,67.5,35.9,35.4,0.0,0,0.0,,,,,9.4,358.1,1016.3,14.0,3.2,240.1,20.7,9,,2018-02-01T06:48:38,2018-02-01T17:56:44,0.52,Clear,Clear conditions throughout the day.,clear-day,"42675099999,42776099999,VAJB,remote",2953,2,24.1,13.6,19.4,20.2,0.0,0.0,0.0,6.9,2.95,136.4
01-02-2019,2222,Naryanganj ,82.1,48.1,64.6,79.7,44.7,64.2,38.2,41.8,0.0,0,0.0,,,,,9.2,171.1,1017.2,15.6,3.0,228.3,19.8,8,,2019-02-01T06:48:44,2019-02-01T17:56:35,0.88,Clear,Clear conditions throughout the day.,clear-day,"42675099999,42776099999,VAJB,remote",3318,1,27.2,14.0,21.0,21.3,0.0,0.0,0.0,10.4,3.75,114.35
01-02-2020,2587,Naryanganj ,75.5,45.0,59.3,75.5,41.5,58.5,42.3,56.0,0.0,0,0.0,,,,,11.4,35.9,1018.6,8.0,3.0,223.1,19.3,8,,2020-02-01T06:48:50,2020-02-01T17:56:25,0.24,Clear,Clear conditions throughout the day.,clear-day,"42675099999,42776099999,VAJB,remote",3683,0,23.5,12.8,18.2,17.8,0.0,0.0,0.0,10.5,3.44,133.28
01-02-2021,2960,Naryanganj ,75.2,45.8,59.7,75.2,42.6,58.8,32.7,37.3,0.0,0,0.0,,,,,6.9,53.1,1020.5,0.0,3.6,245.2,21.1,9,,2021-02-01T06:48:33,2021-02-01T17:56:56,0.62,Clear,Clear conditions throughout the day.,clear-day,"42675099999,42776099999,VAJB,remote",4049,0,21.9,11.2,16.8,16.2,0.0,0.0,0.0,9.1,3.27,127.23
01-02-2021,2961,Naryanganj,75.2,45.8,59.7,75.2,42.6,58.8,32.7,37.3,0.0,0,0.0,,,,,6.9,53.1,1020.5,0.0,3.6,245.2,21.1,9,,2021-02-01T06:48:33,2021-02-01T17:56:56,0.62,Clear,Clear conditions throughout the day.,clear-day,"42675099999,42776099999,VAJB,remote",4049,0,21.9,11.2,16.8,16.2,0.0,0.0,0.0,9.1,3.27,127.23
01-02-2022,3345,Naryanganj,80.5,53.3,65.6,79.4,53.3,65.6,41.4,44.0,0.0,0,0.0,,0.0,0.0,11.6,8.5,306.0,1012.4,0.7,7.1,217.6,18.7,8,10.0,2022-02-01T06:48:39,2022-02-01T17:56:47,0.0,Clear,Clear conditions throughout the day.,clear-day,"42675099999,42776099999,VAJB,remote",4414,51,24.0,13.6,18.3,18.6,1.2,1.2,6.0,14.9,2.91,128.42
01-02-2023,3710,Naryanganj,73.7,51.5,62.5,73.7,51.5,62.5,47.6,60.9,0.0,0,0.0,,0.0,0.0,18.3,8.1,358.7,1017.3,5.8,6.1,234.8,20.5,8,10.0,2023-02-01T06:48:45,2023-02-01T17:56:38,0.35,Clear,Clear conditions throughout the day.,clear-day,"42675099999,42776099999,VAJB,remote",4779,3,25.1,16.4,20.8,21.6,0.0,0.0,0.0,15.0,2.03,120.34
01-03-2013,59,Naryanganj ,87.2,51.0,67.7,83.6,51.0,67.2,38.1,40.1,0.0,0,0.0,,,,,12.5,1.6,1016.7,0.1,2.5,291.9,25.4,10,,2013-03-01T06:30:33,2013-03-01T18:12:27,0.62,Clear,Clear conditions throughout the day.,clear-day,"42675099999,remote",1155,0,29.1,16.5,23.0,22.8,0.0,0.0,0.0,12.5,5.15,142.22
01-03-2014,424,Naryanganj ,77.3,60.9,67.7,77.3,60.9,67.7,60.4,79.2,0.469,100,83.33,rain,,,,13.0,195.1,1012.7,39.2,2.5,199.1,17.2,7,,2014-03-01T06:30:46,2014-03-01T18:12:21,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"42675099999,remote",1520,1,27.3,17.0,21.8,23.0,0.0,0.0,0.0,14.6,4.14,141.56
01-03-2015,789,Naryanganj ,78.9,63.8,68.8,78.9,63.8,68.8,61.5,79.5,0.413,100,66.67,rain,,,,12.5,203.2,1012.5,80.2,2.1,154.7,13.3,5,,2015-03-01T06:30:59,2015-03-01T18:12:14,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"42675099999,remote",1885,51,31.3,21.8,26.5,30.8,0.4,0.4,1.0,6.9,3.87,132.35
01-03-2016,1155,Naryanganj ,93.5,62.7,76.0,89.0,62.7,75.1,49.3,44.8,0.004,100,4.17,rain,,,,7.6,2.4,1013.6,4.4,3.3,264.1,22.7,9,,2016-03-01T06:30:20,2016-03-01T18:12:34,0.75,Rain,Clear conditions throughout the day with early morning rain.,rain,"42675099999,42776099999,remote",2251,2,29.8,21.5,25.5,28.2,0.0,0.0,0.0,9.4,4.01,144.55
01-03-2017,1520,Naryanganj ,97.6,61.4,77.6,92.4,61.4,76.0,37.4,28.5,0.0,0,0.0,,,,,9.2,173.5,1013.0,1.1,3.4,282.4,24.6,10,,2017-03-01T06:30:31,2017-03-01T18:12:27,0.09,Clear,Clear conditions throughout the day.,clear-day,"42675099999,42776099999,remote",2616,2,30.1,16.2,24.4,25.4,0.0,0.0,0.0,8.7,4.58,137.68
01-03-2018,1885,Naryanganj ,95.1,63.4,78.4,90.6,63.4,77.2,48.1,38.1,0.0,0,0.0,,,,,7.2,61.2,1012.5,20.4,3.2,245.8,21.3,9,,2018-03-01T06:30:44,2018-03-01T18:12:21,0.47,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"42675099999,42776099999,VAJB,remote",2981,2,29.9,19.6,25.4,27.7,0.0,0.0,0.0,10.9,4.2,151.05
01-03-2019,2250,Naryanganj ,83.9,51.0,65.8,81.1,51.0,65.5,33.8,33.0,0.0,0,0.0,,,,18.3,11.4,37.1,1016.0,16.4,3.3,273.8,23.6,9,,2019-03-01T06:30:57,2019-03-01T18:12:14,0.82,Clear,Clear conditions throughout the day.,clear-day,"42675099999,42776099999,VAJB,remote",3346,2,24.8,13.7,19.4,19.5,0.0,0.0,0.0,10.0,4.09,185.64
01-03-2020,2616,Naryanganj ,88.6,56.4,71.8,86.9,56.4,71.8,56.8,62.8,0.094,100,20.83,rain,,,34.4,23.0,118.6,1013.2,18.2,2.5,258.8,22.4,9,,2020-03-01T06:30:19,2020-03-01T18:12:35,0.22,Rain,Clear conditions throughout the day with rain.,rain,"42675099999,42776099999,VAJB,remote",3712,0,28.9,17.0,23.0,24.5,0.0,0.0,0.0,10.1,4.41,147.59
01-03-2021,3008,Naryanganj,91.4,67.0,79.1,88.1,67.0,77.9,43.2,29.1,0.0,0,0.0,,,,,16.2,285.9,1014.0,5.3,3.7,275.8,23.8,9,,2021-03-01T06:30:32,2021-03-01T18:12:29,0.57,Clear,Clear conditions throughout the day.,clear-day,"42675099999,42776099999,VAJB,remote",4077,51,31.6,21.4,26.3,29.6,0.3,0.3,1.0,12.0,4.32,139.28
01-03-2022,3373,Naryanganj,88.4,63.8,73.3,84.9,63.8,73.1,51.0,47.4,0.0,0,0.0,,0.0,0.0,12.3,8.7,21.0,1016.1,10.6,6.6,214.5,16.8,9,10.0,2022-03-01T06:30:45,2022-03-01T18:12:23,0.95,Clear,Clear conditions throughout the day.,clear-day,"42675099999,42776099999,VAJB,remote",4442,2,29.2,18.4,23.2,23.9,0.0,0.0,0.0,14.1,4.83,157.49
01-03-2023,3738,Naryanganj,91.7,62.6,77.0,88.1,62.6,76.3,49.3,40.5,0.0,0,0.0,,0.0,0.0,10.3,10.7,283.3,1017.5,51.6,6.6,263.0,22.8,9,10.0,2023-03-01T06:30:57,2023-03-01T18:12:17,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42675099999,42776099999,VAJB,remote",4807,0,31.0,19.3,25.2,26.5,0.0,0.0,0.0,9.1,4.65,138.0
01-04-2013,90,Naryanganj ,101.2,68.1,84.7,96.5,68.1,82.6,45.1,28.0,0.0,0,0.0,,,,,7.6,44.7,1008.8,16.1,2.5,308.2,26.6,10,,2013-04-01T06:01:35,2013-04-01T18:24:29,0.67,Clear,Clear conditions throughout the day.,clear-day,"42675099999,remote",1186,51,32.5,25.3,28.7,34.0,1.6,1.6,8.0,9.8,4.78,140.58
01-04-2014,455,Naryanganj ,102.6,68.4,84.6,97.7,68.4,82.7,47.1,31.2,0.0,0,0.0,,,,,16.8,298.0,1006.0,4.0,2.5,304.8,26.2,10,,2014-04-01T06:01:49,2014-04-01T18:24:24,0.05,Clear,Clear conditions throughout the day.,clear-day,"42675099999,remote",1551,1,35.2,24.1,29.3,32.9,0.0,0.0,0.0,16.3,6.05,140.58
01-04-2015,820,Naryanganj ,99.8,64.7,81.8,94.7,64.7,80.0,45.1,32.4,0.0,0,0.0,,,,,9.4,279.1,1007.8,4.3,2.5,312.5,26.9,10,,2015-04-01T06:02:04,2015-04-01T18:24:19,0.39,Clear,Clear conditions throughout the day.,clear-day,"42675099999,remote",1916,65,30.0,23.0,25.9,29.9,20.4,20.4,12.0,17.3,4.2,190.43
01-04-2016,1186,Naryanganj ,104.1,71.7,86.5,98.5,71.7,84.2,42.6,23.7,0.0,0,0.0,,,,,7.6,304.5,1008.8,10.8,3.8,304.0,26.2,10,,2016-04-01T06:01:20,2016-04-01T18:24:35,0.79,Clear,Clear conditions throughout the day.,clear-day,"42675099999,42776099999,remote",2282,65,27.6,20.8,22.9,26.0,12.7,12.7,7.0,15.2,2.06,294.8
01-04-2017,1551,Naryanganj ,108.2,72.9,90.2,102.5,72.9,87.4,41.5,20.7,0.0,0,0.0,,,,,8.1,308.3,1009.6,6.1,3.9,299.0,25.7,10,,2017-04-01T06:01:33,2017-04-01T18:24:29,0.15,Clear,Clear conditions throughout the day.,clear-day,"42675099999,42776099999,remote",2647,63,32.8,24.3,28.0,31.1,5.9,5.9,3.0,24.8,4.65,211.32
01-04-2018,1916,Naryanganj ,103.7,71.6,85.1,97.2,71.6,82.9,30.5,17.4,0.0,0,0.0,,,,,9.2,1.1,1007.1,14.4,3.1,295.8,25.6,10,,2018-04-01T06:01:47,2018-04-01T18:24:24,0.52,Clear,Clear conditions throughout the day.,clear-day,"42675099999,42776099999,VAJB,remote",3012,1,31.5,22.0,27.0,31.2,0.0,0.0,0.0,7.2,5.06,205.06
01-04-2019,2281,Naryanganj ,104.0,69.7,85.7,100.2,69.7,84.0,43.3,24.8,0.0,0,0.0,,,,,11.0,349.8,1010.6,0.0,3.4,309.5,26.8,10,,2019-04-01T06:02:02,2019-04-01T18:24:19,0.87,Clear,Clear conditions throughout the day.,clear-day,"42675099999,42776099999,VAJB,remote",3377,63,30.6,21.5,25.5,29.0,16.5,16.5,9.0,16.2,3.48,192.2
01-04-2020,2647,Naryanganj ,99.9,67.9,80.9,96.5,67.9,80.5,57.3,49.0,0.0,0,0.0,,,,,13.9,243.8,1011.5,8.3,2.5,309.8,26.6,10,,2020-04-01T06:01:19,2020-04-01T18:24:36,0.25,Clear,Clear conditions throughout the day.,clear-day,"42675099999,42776099999,VAJB,remote",3743,0,34.8,22.6,28.8,31.6,0.0,0.0,0.0,9.6,5.9,147.59
01-04-2021,3039,Naryanganj,101.4,67.7,83.4,95.3,67.7,81.4,32.0,17.7,0.0,0,0.0,,,,,13.9,332.7,1006.5,0.0,3.1,311.2,26.9,10,,2021-04-01T06:01:33,2021-04-01T18:24:32,0.62,Clear,Clear conditions throughout the day.,clear-day,"42675099999,42776099999,VAJB,remote",4108,3,36.5,25.2,30.1,33.4,0.0,0.0,0.0,18.4,6.26,152.11
01-04-2022,3404,Naryanganj,105.8,76.9,90.2,100.9,76.9,87.4,40.3,19.0,0.0,0,0.0,,0.0,0.0,7.6,11.4,264.0,1007.6,0.0,6.2,318.7,27.5,10,10.0,2022-04-01T06:01:48,2022-04-01T18:24:27,0.0,Clear,Clear conditions throughout the day.,clear-day,"42675099999,42776099999,VAJB,remote",4473,51,34.0,25.6,29.2,32.6,0.3,0.3,3.0,22.2,5.31,154.96
01-04-2023,3769,Naryanganj,91.4,65.6,77.8,89.6,65.6,77.3,55.3,48.4,0.0,0,0.0,,0.0,0.0,21.9,13.9,287.0,1009.1,29.7,6.0,274.7,23.8,10,10.0,2023-04-01T06:02:02,2023-04-01T18:24:22,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42675099999,42776099999,VAJB,remote",4838,63,26.3,21.4,23.4,26.5,12.3,12.3,10.0,16.6,2.53,204.12
01-05-2013,120,Naryanganj ,110.9,78.9,95.1,110.9,78.9,92.4,47.5,22.2,0.0,0,0.0,,,,,12.5,295.1,1002.0,15.7,2.5,328.1,28.3,10,,2013-05-01T05:36:18,2013-05-01T18:36:13,0.69,Clear,Clear conditions throughout the day.,clear-day,"42675099999,remote",1216,51,34.0,26.9,29.9,34.4,0.6,0.6,4.0,25.3,4.76,205.06
01-05-2014,485,Naryanganj ,111.1,81.6,95.3,111.1,81.3,92.7,46.8,22.3,0.0,0,0.0,,,,,15.7,255.3,1003.0,27.3,2.5,320.9,27.7,10,,2014-05-01T05:36:28,2014-05-01T18:36:07,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42675099999,remote",1581,63,33.8,26.4,29.4,34.5,7.7,7.7,7.0,15.7,4.85,193.98
