datetime,Unnamed: 0.1,name,tempmax_x,tempmin_x,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed_x,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,Unnamed: 0_x,river_discharge,Unnamed: 0_y,weathercode,tempmax_y,tempmin_y,temperature_2m_mean,apparent_temperature_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_y,et0_fao_evapotranspiration
14-05-2014,133,"Mymensingh,Bangladesh",38.0,25.1,31.3,47.4,25.1,36.4,24.0,68.3,3.7,100.0,66.67,rain,,,,22.7,181.2,1003.5,53.6,7.4,236.2,20.3,8,,2014-05-14T05:15:12,2014-05-14T18:34:30,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"41886099999,remote,41909099999",1959,81.22,1594,51,35.2,26.4,30.3,35.5,0.6,0.6,3.0,14.2,5.76
14-05-2015,498,"Mymensingh,Bangladesh",35.8,25.9,30.5,44.7,25.9,36.1,25.4,76.1,0.5,100.0,20.83,rain,,,,16.2,178.5,1006.7,48.1,5.9,274.0,23.7,8,,2015-05-14T05:15:20,2015-05-14T18:34:23,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"41886099999,remote,41909099999",2324,147.59,1959,65,32.4,23.5,27.6,33.2,39.2,39.2,15.0,13.8,3.17
14-05-2016,864,"Mymensingh,Bangladesh",34.6,23.0,28.5,42.3,23.0,32.3,24.5,80.1,30.9,100.0,100.0,rain,,,,16.2,169.4,1007.2,26.9,6.1,293.3,25.1,9,,2016-05-14T05:14:57,2016-05-14T18:34:46,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"41886099999,remote,41909099999",2690,148.28,2325,63,31.4,22.8,25.8,30.5,45.3,45.3,21.0,13.6,2.8
14-05-2017,1229,"Mymensingh,Bangladesh",32.6,25.4,28.5,41.9,25.4,33.4,25.7,85.7,24.6,100.0,87.5,rain,,,,11.5,164.0,1004.6,37.9,6.5,281.0,24.4,9,,2017-05-14T05:15:03,2017-05-14T18:34:38,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"41886099999,remote,41909099999",3055,229.14,2690,63,30.4,23.4,26.4,31.7,14.7,14.7,18.0,9.7,2.78
14-05-2018,1594,"Mymensingh,Bangladesh",30.7,24.0,27.1,36.0,24.0,29.3,23.7,82.2,10.6,100.0,75.0,rain,,,,18.3,150.6,1008.9,54.8,6.8,191.0,16.5,6,,2018-05-14T05:15:11,2018-05-14T18:34:31,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"41886099999,remote,41909099999",3420,172.78,3055,55,28.8,22.1,24.5,28.8,6.9,6.9,13.0,11.3,2.35
14-05-2019,2143,"Mymensingh,Bangladesh",34.0,25.9,29.8,39.5,25.9,33.9,24.7,76.1,24.3,100.0,100.0,rain,,,,13.3,172.9,,46.7,,243.8,21.0,8,,2019-05-14T05:15:19,2019-05-14T18:34:24,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote,3785,112.5,3420,63,31.0,23.2,26.9,32.1,18.5,18.5,14.0,12.2,3.81
14-05-2020,2509,"Mymensingh,Bangladesh",33.6,23.4,28.3,40.5,23.4,32.1,24.4,80.7,12.4,100.0,79.17,rain,,,,14.7,152.5,1007.2,26.8,5.8,287.2,24.8,9,,2020-05-14T05:14:57,2020-05-14T18:34:48,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"41886099999,remote,41909099999",4151,97.17,3786,63,32.2,22.0,26.0,31.0,37.4,37.4,13.0,10.3,4.07
14-05-2021,2874,"Mymensingh,Bangladesh",32.9,25.4,28.6,38.3,25.4,31.4,24.1,78.0,17.0,100.0,70.83,rain,,,,15.1,226.8,,25.5,,266.2,22.9,9,,2021-05-14T05:15:05,2021-05-14T18:34:41,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote,4516,114.88,4151,55,30.7,21.9,26.0,30.4,3.2,3.2,9.0,10.7,3.37
14-05-2022,3239,"Mymensingh,Bangladesh",33.1,23.7,27.6,40.7,23.7,30.7,24.4,83.5,47.7,100.0,75.0,rain,0.0,0.0,47.9,27.0,157.5,1001.7,62.9,18.4,113.4,9.8,4,75.0,2022-05-14T05:15:12,2022-05-14T18:34:35,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote,4881,143.88,4516,53,31.3,26.2,28.0,33.4,9.4,9.4,24.0,16.0,2.9
14-05-2023,3604,"Mymensingh,Bangladesh",34.1,24.3,28.2,33.7,24.3,28.5,17.3,53.5,0.0,0.0,0.0,,0.0,0.0,41.8,37.1,87.2,1002.1,95.8,17.9,269.5,23.3,9,10.0,2023-05-14T05:15:20,2023-05-14T18:34:28,0.81,Overcast,Cloudy skies throughout the day.,cloudy,"41886099999,remote,41909099999",5246,74.51,4881,1,31.2,22.5,27.0,28.4,0.0,0.0,0.0,24.9,4.5
14-06-2014,164,"Mymensingh,Bangladesh",34.7,27.0,30.4,46.3,30.7,37.8,26.2,79.6,2.4,100.0,50.0,rain,,,,13.3,169.6,998.5,51.3,7.0,156.4,13.6,5,,2014-06-14T05:08:49,2014-06-14T18:48:24,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"41886099999,remote,41909099999",1990,117.3,1625,61,33.6,25.1,28.8,35.4,12.6,12.6,15.0,10.6,3.92
