datetime,Unnamed: 0_x,name,tempmax_x,tempmin_x,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed_x,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,Unnamed: 0_y,river_discharge,Unnamed: 0,weathercode,tempmax_y,tempmin_y,temperature_2m_mean,apparent_temperature_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_y,et0_fao_evapotranspiration
2013-02-01,0,Bogra,21.1,11.1,15.0,21.1,11.1,15.0,8.1,64.3,0.0,0,0.0,,,,,14.0,315.8,1016.6,72.3,3.7,62.1,5.3,3,,2013-02-01T06:45:01,2013-02-01T17:47:30,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,41883099999",1492,0.41,1127,3,24.2,11.6,18.2,18.4,0.0,0.0,0.0,8.2,2.09
2013-02-02,1,Bogra,26.7,9.2,17.3,26.7,7.6,17.1,7.6,56.0,0.0,0,0.0,,,,,16.9,305.5,1014.5,40.8,4.0,178.5,15.5,7,,2013-02-02T06:44:33,2013-02-02T17:48:13,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,41883099999",1493,0.41,1128,3,26.1,10.6,19.5,19.3,0.0,0.0,0.0,9.3,3.64
2013-02-03,2,Bogra,27.2,12.1,18.3,26.8,12.1,18.2,6.1,47.2,0.0,0,0.0,,,,,18.4,304.2,1015.5,35.0,6.0,189.1,16.3,7,,2013-02-03T06:44:05,2013-02-03T17:48:55,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,41883099999",1494,0.41,1129,1,26.8,12.8,19.6,19.2,0.0,0.0,0.0,10.2,3.82
2013-02-04,3,Bogra,28.7,11.5,19.8,27.3,11.5,19.6,8.0,50.1,0.0,0,0.0,,,,,13.7,318.8,1015.7,28.3,5.0,200.6,17.3,7,,2013-02-04T06:43:35,2013-02-04T17:49:37,0.79,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"remote,41883099999",1495,0.41,1130,1,27.1,12.6,20.0,20.4,0.0,0.0,0.0,8.4,3.44
2013-02-05,4,Bogra,30.5,13.0,21.1,28.8,13.0,20.7,9.2,49.9,0.0,0,0.0,,,,,13.7,338.9,1018.5,0.6,6.0,212.6,18.3,8,,2013-02-05T06:43:04,2013-02-05T17:50:18,0.82,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999",1496,0.41,1131,0,28.1,13.5,20.9,21.2,0.0,0.0,0.0,8.9,3.75
2013-02-06,5,Bogra,31.6,14.4,22.3,30.1,14.4,22.0,11.0,51.8,0.0,0,0.0,,,,,14.8,311.4,1015.2,4.0,4.0,214.2,18.5,8,,2013-02-06T06:42:32,2013-02-06T17:50:59,0.86,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999",1497,0.41,1132,1,28.7,14.0,21.8,21.6,0.0,0.0,0.0,11.0,4.15
2013-02-07,6,Bogra,31.8,17.4,23.6,30.5,17.4,23.3,12.5,51.7,0.0,0,0.0,,,,,21.6,303.1,1012.7,44.8,4.3,199.8,17.2,8,,2013-02-07T06:41:58,2013-02-07T17:51:40,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,41883099999",1498,0.41,1133,2,28.9,15.5,22.5,23.0,0.0,0.0,0.0,12.7,3.93
2013-02-08,7,Bogra,25.7,16.8,21.2,25.7,16.8,21.2,10.9,54.1,0.0,0,0.0,,,,,26.6,303.0,1013.4,52.4,4.5,132.3,11.4,5,,2013-02-08T06:41:24,2013-02-08T17:52:20,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,41883099999",1499,0.41,1134,51,25.8,13.4,19.9,19.1,0.1,0.1,1.0,13.3,3.03
2013-02-09,8,Bogra,27.4,11.8,18.8,26.2,11.8,18.6,4.4,42.7,0.0,0,0.0,,,,,18.7,307.5,1014.1,3.1,4.5,241.0,20.8,9,,2013-02-09T06:40:48,2013-02-09T17:53:00,0.96,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999",1500,0.41,1135,0,25.3,12.6,18.5,17.3,0.0,0.0,0.0,10.9,4.11
2013-02-10,9,Bogra,28.5,10.4,18.7,27.0,10.4,18.5,4.7,42.9,0.0,0,0.0,,,,,20.5,312.7,1014.1,1.5,4.3,233.8,20.4,8,,2013-02-10T06:40:11,2013-02-10T17:53:40,0.0,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999",1501,0.41,1136,0,26.8,12.6,19.5,18.3,0.0,0.0,0.0,13.2,4.27
2013-02-11,10,Bogra,29.1,10.1,19.1,27.4,10.1,18.9,3.6,39.5,0.0,0,0.0,,,,,18.0,305.7,1013.4,32.7,5.0,235.5,20.3,8,,2013-02-11T06:39:33,2013-02-11T17:54:19,0.03,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"remote,41883099999",1502,0.41,1137,1,27.2,12.7,19.8,19.1,0.0,0.0,0.0,10.5,4.15
2013-02-12,11,Bogra,29.0,10.4,19.3,27.4,10.4,19.0,4.1,39.9,0.0,0,0.0,,,,,17.6,311.6,1011.6,90.4,6.0,210.3,18.2,8,,2013-02-12T06:38:53,2013-02-12T17:54:57,0.06,Overcast,Cloudy skies throughout the day.,cloudy,"remote,41883099999",1503,0.41,1138,1,28.2,13.3,20.9,20.4,0.0,0.0,0.0,10.2,4.22
2013-02-13,12,Bogra,31.2,13.5,21.2,29.1,13.5,20.8,6.4,41.6,0.0,0,0.0,,,,,21.6,296.3,1012.5,31.4,4.7,232.4,20.2,8,,2013-02-13T06:38:13,2013-02-13T17:55:36,0.09,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"remote,41883099999",1504,0.41,1139,0,28.7,14.3,21.5,21.4,0.0,0.0,0.0,10.4,4.35
2013-02-14,13,Bogra,31.4,14.5,21.7,29.3,14.5,21.3,6.7,42.1,0.0,0,0.0,,,,,24.8,297.1,1012.4,0.0,4.3,229.5,20.0,8,,2013-02-14T06:37:32,2013-02-14T17:56:13,0.13,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999",1505,0.41,1140,0,28.3,13.0,20.5,19.6,0.0,0.0,0.0,10.8,4.45
2013-02-15,14,Bogra,31.4,13.2,21.4,29.3,13.2,21.0,6.1,40.6,0.0,0,0.0,,,,,17.3,314.0,1013.7,4.2,5.0,236.0,20.4,8,,2013-02-15T06:36:49,2013-02-15T17:56:50,0.16,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999",1506,0.41,1141,2,29.0,14.2,22.1,21.0,0.0,0.0,0.0,12.0,4.75
2013-02-16,15,Bogra,30.8,14.2,21.7,29.2,14.2,21.4,10.1,50.1,0.2,100,4.17,rain,,,,21.6,333.8,1012.2,40.6,5.0,195.9,16.8,8,,2013-02-16T06:36:06,2013-02-16T17:57:27,0.19,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"remote,41883099999",1507,0.44,1142,53,25.7,16.8,20.7,20.3,2.2,2.2,7.0,19.1,3.11
2013-02-17,16,Bogra,23.8,16.1,19.1,23.8,16.1,19.1,14.7,76.9,12.7,100,91.67,rain,,,,29.5,341.8,1011.9,66.2,4.0,123.1,10.5,4,,2013-02-17T06:35:21,2013-02-17T17:58:04,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"remote,41883099999",1508,0.59,1143,63,21.9,15.0,17.7,19.2,11.6,11.6,10.0,10.9,0.9
2013-02-18,17,Bogra,26.4,14.7,19.1,26.4,14.7,19.1,11.0,65.0,0.6,100,12.5,rain,,,,21.2,289.6,1012.8,10.0,3.0,236.9,20.6,8,,2013-02-18T06:34:36,2013-02-18T17:58:40,0.25,Rain,Clear conditions throughout the day with early morning rain.,rain,"remote,41883099999",1509,0.56,1144,51,23.9,12.5,18.0,18.0,0.2,0.2,2.0,10.1,2.67
2013-02-19,18,Bogra,26.9,12.0,19.2,26.5,12.0,19.2,9.5,56.7,0.0,0,0.0,,,,,15.8,310.1,1013.7,1.7,3.8,240.9,20.9,8,,2013-02-19T06:33:49,2013-02-19T17:59:15,0.29,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999",1510,0.53,1145,2,24.3,11.9,18.3,17.8,0.0,0.0,0.0,9.9,3.55
2013-02-20,19,Bogra,28.5,12.9,20.3,27.2,12.9,20.2,9.1,52.4,0.0,0,0.0,,,,,22.0,308.5,1013.1,0.4,5.0,241.3,20.7,9,,2013-02-20T06:33:02,2013-02-20T17:59:50,0.32,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999",1511,0.5,1146,0,25.8,13.1,19.7,19.2,0.0,0.0,0.0,11.9,4.19
2013-02-21,20,Bogra,29.4,14.6,21.2,27.9,14.6,21.0,9.5,50.2,0.0,0,0.0,,,,,21.6,309.5,1013.6,0.0,5.0,234.4,20.2,8,,2013-02-21T06:32:14,2013-02-21T18:00:25,0.35,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999",1512,0.47,1147,0,27.0,14.2,20.4,20.0,0.0,0.0,0.0,11.8,4.4
2013-02-22,21,Bogra,31.2,13.6,21.6,29.4,13.6,21.2,9.5,49.5,0.0,0,0.0,,,,,22.0,317.5,1014.7,0.0,5.0,244.6,21.3,9,,2013-02-22T06:31:25,2013-02-22T18:00:59,0.38,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999",1513,0.47,1148,0,28.5,14.4,21.3,21.0,0.0,0.0,0.0,13.0,4.6
2013-02-23,22,Bogra,33.0,13.8,22.9,31.2,13.8,22.5,10.1,47.7,0.0,0,0.0,,,,,17.3,314.7,1013.3,1.6,4.5,239.4,20.5,8,,2013-02-23T06:30:35,2013-02-23T18:01:32,0.42,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999",1514,0.47,1149,0,29.9,15.3,22.5,22.4,0.0,0.0,0.0,11.6,4.79
2013-02-24,23,Bogra,32.7,14.5,23.6,30.8,14.5,23.2,9.7,44.4,0.0,0,0.0,,,,,28.8,310.8,1013.2,1.7,5.0,245.2,21.3,9,,2013-02-24T06:29:44,2013-02-24T18:02:06,0.45,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999",1515,0.47,1150,0,30.6,15.8,23.3,23.1,0.0,0.0,0.0,12.2,5.0
2013-02-25,24,Bogra,32.6,17.2,24.2,31.2,17.2,23.8,11.8,48.4,0.0,0,0.0,,,,,23.8,306.5,1013.3,0.0,4.7,235.7,20.2,8,,2013-02-25T06:28:53,2013-02-25T18:02:39,0.48,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999",1516,0.44,1151,0,30.6,17.8,23.9,23.9,0.0,0.0,0.0,12.2,5.03
2013-02-26,25,Bogra,31.8,15.9,23.4,30.0,15.9,23.0,11.0,48.9,0.0,0,0.0,,,,,20.2,310.0,1014.7,0.0,4.3,252.6,21.7,9,,2013-02-26T06:28:01,2013-02-26T18:03:11,0.5,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999",1517,0.44,1152,0,29.0,16.8,22.5,22.6,0.0,0.0,0.0,10.0,4.7
2013-02-27,26,Bogra,32.5,15.5,23.3,30.5,15.5,22.8,9.7,45.9,0.0,0,0.0,,,,,16.6,311.4,1013.5,0.9,4.5,252.7,21.9,9,,2013-02-27T06:27:08,2013-02-27T18:03:43,0.55,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999",1518,0.44,1153,0,30.2,16.5,22.9,22.8,0.0,0.0,0.0,9.8,4.99
2013-02-28,27,Bogra,33.9,15.1,24.1,31.9,15.1,23.5,9.0,41.1,0.0,0,0.0,,,,,21.2,292.9,1010.9,0.0,4.5,250.2,21.6,9,,2013-02-28T06:26:14,2013-02-28T18:04:15,0.59,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999",1519,0.44,1154,0,30.9,15.3,23.6,23.6,0.0,0.0,0.0,12.0,5.2
2013-03-01,28,Bogra,32.1,16.1,23.4,29.8,16.1,22.8,5.7,35.1,0.0,0,0.0,,,,,55.4,293.9,1011.5,6.6,15.0,272.8,23.6,9,,2013-03-01T06:25:20,2013-03-01T18:04:46,0.62,Clear,Clear conditions throughout the day.,wind,"remote,41883099999",1520,0.44,1155,0,28.3,16.1,21.9,21.3,0.0,0.0,0.0,13.8,5.03
2013-03-02,29,Bogra,32.0,13.5,22.5,29.9,13.5,22.0,7.4,41.3,0.0,0,0.0,,,,,17.6,310.6,1013.0,0.0,4.5,258.6,22.4,9,,2013-03-02T06:24:25,2013-03-02T18:05:17,0.66,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999",1521,0.44,1156,0,29.2,15.4,22.4,22.3,0.0,0.0,0.0,9.8,4.92
2013-03-03,30,Bogra,32.3,14.3,23.1,30.2,14.3,22.7,8.8,43.2,0.0,0,0.0,,,,,15.1,309.2,1012.5,0.0,5.0,256.5,22.0,9,,2013-03-03T06:23:29,2013-03-03T18:05:48,0.69,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999",1522,0.44,1157,0,30.2,16.2,23.2,23.8,0.0,0.0,0.0,9.3,4.83
2013-03-04,31,Bogra,32.8,14.9,23.8,30.7,14.9,23.3,7.5,37.1,0.0,0,0.0,,,,,15.5,305.9,1013.9,0.0,6.0,236.9,20.4,8,,2013-03-04T06:22:33,2013-03-04T18:06:18,0.73,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999",1523,0.44,1158,0,30.8,16.6,23.7,24.5,0.0,0.0,0.0,9.5,4.86
2013-03-05,32,Bogra,33.6,16.0,24.4,31.3,16.0,23.7,8.1,39.0,0.0,0,0.0,,,,,12.2,298.0,1013.9,1.3,5.0,244.6,21.2,9,,2013-03-05T06:21:37,2013-03-05T18:06:48,0.75,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999",1524,0.44,1159,0,31.2,17.0,24.2,25.0,0.0,0.0,0.0,10.1,4.93
2013-03-06,33,Bogra,33.4,17.0,24.8,31.4,17.0,24.3,9.9,43.2,0.0,0,0.0,,,,,13.0,292.8,1015.0,0.0,4.0,230.2,19.9,8,,2013-03-06T06:20:39,2013-03-06T18:07:17,0.8,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999",1525,0.44,1160,0,31.2,16.5,23.9,24.8,0.0,0.0,0.0,9.1,4.78
2013-03-07,34,Bogra,33.4,16.0,24.7,31.2,16.0,24.1,9.3,41.6,0.0,0,0.0,,,,,13.3,317.2,1013.6,1.3,4.3,241.4,20.9,8,,2013-03-07T06:19:42,2013-03-07T18:07:46,0.84,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999",1526,0.44,1161,0,31.5,15.9,24.0,24.4,0.0,0.0,0.0,12.3,5.24
2013-03-08,35,Bogra,34.8,16.8,25.4,32.4,16.8,24.6,7.8,36.9,0.0,0,0.0,,,,,16.2,311.0,1013.1,0.0,4.5,257.4,22.3,9,,2013-03-08T06:18:44,2013-03-08T18:08:15,0.87,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999",1527,0.44,1162,0,31.7,15.2,24.0,23.6,0.0,0.0,0.0,11.3,5.57
2013-03-09,36,Bogra,33.9,17.9,25.3,31.5,17.9,24.6,7.1,34.9,0.0,0,0.0,,,,,18.4,289.5,1011.2,0.0,4.5,249.0,21.5,9,,2013-03-09T06:17:45,2013-03-09T18:08:44,0.91,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999",1528,0.44,1163,1,31.5,18.2,24.6,25.3,0.0,0.0,0.0,9.4,5.04
2013-03-10,37,Bogra,35.1,16.7,25.9,32.5,16.7,25.1,7.0,34.8,0.0,0,0.0,,,,,11.9,294.0,1010.2,2.1,4.5,259.6,22.7,9,,2013-03-10T06:16:46,2013-03-10T18:09:12,0.94,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999",1529,0.44,1164,1,31.7,17.3,25.0,26.2,0.0,0.0,0.0,8.7,4.88
2013-03-11,38,Bogra,35.6,19.4,26.9,33.3,19.4,26.3,9.5,37.6,0.0,0,0.0,,,,,13.0,290.7,1010.5,1.1,4.4,252.2,21.9,9,,2013-03-11T06:15:47,2013-03-11T18:09:40,0.98,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999",1530,0.44,1165,0,31.9,17.6,25.0,26.3,0.0,0.0,0.0,13.8,5.0
2013-03-12,39,Bogra,35.6,20.8,27.5,33.3,20.8,27.0,10.4,38.8,0.0,0,0.0,,,,,9.7,331.4,1009.4,15.0,3.3,252.9,21.9,9,,2013-03-12T06:14:47,2013-03-12T18:10:08,0.0,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999",1531,0.44,1166,1,31.8,18.7,25.4,27.5,0.0,0.0,0.0,9.5,4.9
2013-03-13,40,Bogra,35.5,19.8,27.4,33.4,19.8,27.0,13.1,47.3,0.4,100,16.67,rain,,,,10.1,41.3,1011.1,14.4,3.8,246.6,21.3,9,,2013-03-13T06:13:47,2013-03-13T18:10:35,0.05,Rain,Clear conditions throughout the day with rain in the morning and afternoon.,rain,"remote,41883099999",1532,0.44,1167,3,30.7,19.8,25.5,28.2,0.0,0.0,0.0,13.9,4.07
2013-03-14,41,Bogra,35.0,21.3,28.1,34.3,21.3,28.1,16.1,51.7,1.3,100,20.83,rain,,,,11.2,90.1,1011.7,72.6,4.5,223.6,19.3,8,,2013-03-14T06:12:46,2013-03-14T18:11:03,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"remote,41883099999",1533,0.44,1168,51,31.3,21.0,26.3,29.5,0.1,0.1,1.0,8.5,4.27
2013-03-15,42,Bogra,34.9,22.6,29.0,35.6,22.6,28.9,15.6,46.6,3.8,100,20.83,rain,,,,11.2,340.5,1013.4,85.1,4.0,198.7,17.2,7,,2013-03-15T06:11:46,2013-03-15T18:11:30,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"remote,41883099999",1534,0.44,1169,2,32.7,21.1,26.6,29.0,0.0,0.0,0.0,10.3,4.68
2013-03-16,43,Bogra,36.2,20.2,27.7,34.4,20.2,27.3,14.2,48.1,8.1,100,12.5,rain,,,,15.8,306.0,1013.4,1.8,4.7,259.8,22.2,9,,2013-03-16T06:10:45,2013-03-16T18:11:57,0.14,Rain,Clear conditions throughout the day with early morning rain.,rain,"remote,41883099999",1535,0.44,1170,1,33.8,20.6,27.0,27.7,0.0,0.0,0.0,12.3,5.88
2013-03-17,44,Bogra,35.8,21.1,27.2,33.9,21.1,26.6,12.4,44.2,0.7,100,20.83,rain,,,,17.6,290.0,1012.9,16.9,4.3,248.3,21.4,9,,2013-03-17T06:09:44,2013-03-17T18:12:23,0.17,Rain,Clear conditions throughout the day with rain.,rain,"remote,41883099999",1536,0.44,1171,2,32.8,17.7,24.1,24.0,0.0,0.0,0.0,24.5,5.26
2013-03-18,45,Bogra,34.0,18.1,25.7,32.0,18.1,25.1,10.7,42.6,0.2,100,8.33,rain,,,,19.4,260.6,1010.7,0.0,4.0,281.0,24.4,9,,2013-03-18T06:08:42,2013-03-18T18:12:50,0.21,Rain,Clear conditions throughout the day with morning rain.,rain,"remote,41883099999",1537,0.44,1172,0,30.7,17.6,23.8,23.2,0.0,0.0,0.0,18.6,5.9
2013-03-19,46,Bogra,34.7,17.0,26.2,32.4,17.0,25.3,8.3,35.7,0.0,0,0.0,,,,,14.8,246.9,1008.8,0.0,5.3,287.0,24.8,10,,2013-03-19T06:07:41,2013-03-19T18:13:16,0.25,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999",1538,0.44,1173,0,31.7,17.9,24.9,25.2,0.0,0.0,0.0,12.8,5.67
2013-03-20,47,Bogra,34.9,19.0,27.0,33.3,19.0,26.6,12.6,43.7,0.0,0,0.0,,,,,11.9,52.6,1009.7,4.0,5.0,267.0,22.8,9,,2013-03-20T06:06:39,2013-03-20T18:13:43,0.27,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999",1539,0.44,1174,1,32.2,19.0,26.0,27.5,0.0,0.0,0.0,7.9,5.18
2013-03-21,48,Bogra,36.1,20.6,28.4,34.8,20.6,28.0,14.4,46.3,0.0,0,0.0,,,,,11.9,297.0,1008.6,13.4,4.0,254.4,22.0,9,,2013-03-21T06:05:38,2013-03-21T18:14:09,0.3,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999",1540,0.44,1175,1,32.2,19.3,26.1,27.9,0.0,0.0,0.0,8.7,4.86
2013-03-22,49,Bogra,35.7,19.1,27.9,33.9,19.1,27.4,12.3,40.8,0.9,100,20.83,rain,,,,12.6,9.3,1007.1,6.8,4.5,253.2,21.9,9,,2013-03-22T06:04:36,2013-03-22T18:14:35,0.33,Rain,Clear conditions throughout the day with rain in the morning and afternoon.,rain,"remote,41883099999",1541,0.44,1176,2,33.5,19.2,26.2,27.4,0.0,0.0,0.0,15.9,5.56
2013-03-23,50,Bogra,34.6,20.3,27.2,33.5,20.3,27.2,15.3,51.6,0.7,100,20.83,rain,,,,11.9,53.3,1009.1,33.5,5.0,212.5,18.3,7,,2013-03-23T06:03:34,2013-03-23T18:15:01,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"remote,41883099999",1542,0.44,1177,3,32.2,20.3,26.1,28.9,0.0,0.0,0.0,12.7,4.13
2013-03-24,51,Bogra,36.8,20.3,28.7,36.8,20.3,28.2,13.6,44.1,0.0,0,0.0,,,,,13.0,354.1,1010.8,9.5,5.0,274.0,23.7,9,,2013-03-24T06:02:32,2013-03-24T18:15:26,0.4,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999",1543,0.44,1178,1,33.8,21.6,27.5,30.6,0.0,0.0,0.0,8.4,5.24
2013-03-25,52,Bogra,38.0,21.8,29.4,36.6,21.8,28.8,12.1,37.8,0.0,0,0.0,,,,,17.6,272.2,1006.8,0.0,4.5,269.5,23.2,9,,2013-03-25T06:01:30,2013-03-25T18:15:52,0.43,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999",1544,0.44,1179,0,35.2,21.6,28.5,29.0,0.0,0.0,0.0,19.5,6.66
2013-03-26,53,Bogra,38.0,21.4,29.2,35.5,21.4,28.2,9.0,32.0,0.0,0,0.0,,,,,21.2,279.2,1005.6,5.8,4.0,297.6,25.8,10,,2013-03-26T06:00:28,2013-03-26T18:16:18,0.46,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999",1545,0.44,1180,1,34.4,20.0,27.1,26.4,0.0,0.0,0.0,18.3,7.03
2013-03-27,54,Bogra,37.7,20.9,29.4,35.0,20.9,28.2,7.1,28.3,0.0,0,0.0,,,,,13.0,298.7,1007.4,33.6,4.8,295.7,25.6,10,,2013-03-27T05:59:26,2013-03-27T18:16:43,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,41883099999",1546,0.44,1181,1,33.8,19.4,26.7,26.8,0.0,0.0,0.0,10.8,6.16
2013-03-28,55,Bogra,38.1,21.9,29.5,35.5,21.9,28.5,8.1,28.9,0.0,0,0.0,,,,,8.6,307.3,1008.5,42.4,4.7,240.5,20.8,9,,2013-03-28T05:58:25,2013-03-28T18:17:09,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"remote,41883099999",1547,0.44,1182,2,34.5,19.6,27.9,28.2,0.0,0.0,0.0,12.7,6.08
2013-03-29,56,Bogra,37.9,22.4,29.8,37.3,22.4,29.5,11.6,33.8,0.0,0,0.0,,,,,25.9,276.0,1008.0,5.2,6.0,263.2,22.8,9,,2013-03-29T05:57:23,2013-03-29T18:17:34,0.57,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999",1548,0.44,1183,2,33.6,22.4,27.9,28.6,0.0,0.0,0.0,17.6,5.9
2013-03-30,57,Bogra,39.0,22.6,31.1,38.8,22.6,31.2,15.5,41.6,1.0,100,25.0,rain,,,,21.2,259.2,1006.5,12.7,5.0,271.8,23.6,9,,2013-03-30T05:56:22,2013-03-30T18:18:00,0.6,Rain,Clear conditions throughout the day with rain.,rain,"remote,41883099999",1549,0.44,1184,51,33.8,22.4,28.0,29.3,0.5,0.5,2.0,19.1,6.08
2013-03-31,58,Bogra,38.7,22.4,31.3,37.3,22.4,30.4,12.9,35.5,0.4,100,16.67,rain,,,,11.2,289.0,1007.2,17.9,4.7,284.9,24.6,9,,2013-03-31T05:55:20,2013-03-31T18:18:25,0.64,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"remote,41883099999",1550,0.44,1185,1,34.6,22.0,28.1,30.0,0.0,0.0,0.0,10.8,5.75
2013-04-01,59,Bogra,38.3,23.8,30.5,36.5,23.8,29.6,11.6,34.4,1.3,100,37.5,rain,,,,11.9,293.5,1008.3,0.0,4.0,288.6,25.0,10,,2013-04-01T05:54:19,2013-04-01T18:18:51,0.67,Rain,Clear conditions throughout the day with rain clearing later.,rain,"remote,41883099999",1551,0.47,1186,1,35.0,20.9,28.0,29.5,0.0,0.0,0.0,12.6,5.84
2013-04-02,60,Bogra,39.3,23.9,31.3,37.3,23.9,30.3,10.7,31.7,0.0,0,0.0,,,,,12.2,275.6,1008.8,5.4,4.5,291.5,25.1,10,,2013-04-02T05:53:18,2013-04-02T18:19:17,0.71,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999",1552,0.47,1187,1,34.9,20.3,28.5,30.8,0.0,0.0,0.0,8.9,5.92
2013-04-03,61,Bogra,39.2,23.4,31.7,37.4,23.4,30.7,11.2,31.6,0.0,0,0.0,,,,,17.3,260.8,1006.7,7.9,5.7,263.3,22.7,8,,2013-04-03T05:52:17,2013-04-03T18:19:42,0.75,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999",1553,0.47,1188,1,35.9,24.1,29.5,31.2,0.0,0.0,0.0,11.5,6.37
2013-04-04,62,Bogra,40.5,24.7,32.4,39.1,24.7,31.5,12.7,33.7,0.0,0,0.0,,,,,31.0,265.5,1003.3,0.0,5.0,297.2,25.7,10,,2013-04-04T05:51:17,2013-04-04T18:20:08,0.78,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999",1554,0.47,1189,0,36.9,23.3,30.1,28.6,0.0,0.0,0.0,28.4,8.4
2013-04-05,63,Bogra,39.7,21.7,31.0,36.7,21.7,29.6,6.2,25.2,0.0,0,0.0,,,,,23.0,274.8,1003.0,0.5,5.3,312.7,27.0,10,,2013-04-05T05:50:17,2013-04-05T18:20:33,0.82,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999",1555,0.47,1190,0,35.4,21.3,28.1,26.0,0.0,0.0,0.0,18.0,8.05
2013-04-06,64,Bogra,39.3,21.1,29.7,36.1,21.1,28.4,3.6,21.6,0.0,0,0.0,,,,,21.2,272.9,1005.4,2.0,5.8,316.9,27.3,10,,2013-04-06T05:49:17,2013-04-06T18:20:59,0.85,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999",1556,0.47,1191,0,35.0,20.3,27.3,25.7,0.0,0.0,0.0,14.2,7.57
2013-04-07,65,Bogra,39.2,22.1,30.2,36.1,22.1,28.8,3.4,20.5,0.0,0,0.0,,,,,12.2,274.6,1004.7,1.2,5.0,308.0,26.6,10,,2013-04-07T05:48:17,2013-04-07T18:21:25,0.89,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999",1557,0.47,1192,0,35.5,20.0,27.5,27.6,0.0,0.0,0.0,10.9,6.53
2013-04-08,66,Bogra,40.2,22.1,31.6,37.4,22.1,30.4,6.7,24.2,0.0,0,0.0,,,,,7.6,221.7,1005.2,0.0,5.7,295.5,25.7,10,,2013-04-08T05:47:18,2013-04-08T18:21:51,0.92,Clear,Clear conditions throughout the day.,clear-day,"remote,41883099999",1558,0.47,1193,0,36.1,21.0,28.6,30.9,0.0,0.0,0.0,11.2,6.04
