datetime,Unnamed: 0_x,name,tempmax_x,tempmin_x,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed_x,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,Unnamed: 0.1,Unnamed: 0_y,river_discharge,Unnamed: 0,weathercode,tempmax_y,tempmin_y,temperature_2m_mean,apparent_temperature_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_y,et0_fao_evapotranspiration
01-02-2013,245,"24.8990,91.8711",77.3,53.1,64.5,77.3,53.1,64.5,53.3,68.5,0.0,0,0.0,,,,,6.3,197.5,1015.9,89.9,2.7,108.0,9.4,5,,2013-02-01T06:35:04,2013-02-01T17:37:24,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41915099999,41891099999,remote",1492,1492,1.03,1127,3,24.2,11.5,18.0,18.4,0.0,0.0,0.0,6.1,2.12
01-02-2014,610,"24.8990,91.8711",83.4,53.1,66.8,82.2,53.1,66.6,54.6,68.2,0.0,0,0.0,,,,,6.9,299.4,1015.5,0.0,2.8,214.4,18.6,8,,2014-02-01T06:35:10,2014-02-01T17:37:14,0.04,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote",1857,1857,0.94,1492,1,26.9,11.0,18.0,18.2,0.0,0.0,0.0,7.6,3.5
01-02-2015,1948,"24.8990,91.8711",77.1,42.9,62.4,77.1,42.9,62.3,43.8,54.3,0.0,0,0.0,,,,,5.1,213.7,1016.5,0.0,2.6,207.0,17.9,8,,2015-02-01T06:35:17,2015-02-01T17:37:03,0.41,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote",2222,2222,0.91,1857,1,23.3,10.5,16.6,16.3,0.0,0.0,0.0,6.9,3.18
01-02-2016,2313,"24.8990,91.8711",78.5,55.3,66.7,78.5,55.3,66.7,58.2,76.0,0.0,0,0.0,,,,,6.0,150.9,1014.9,31.9,1.3,161.4,13.8,6,,2016-02-01T06:35:23,2016-02-01T17:36:52,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42618099999,41915099999,42515099999,41891099999,remote,42516099999",2587,2587,1.03,2222,51,22.8,14.1,17.8,19.1,2.3,2.3,9.0,5.6,2.05
01-02-2017,2679,"24.8990,91.8711",78.7,52.4,65.2,78.7,52.4,65.2,53.5,68.5,0.0,0,0.0,,,,,5.8,38.7,1015.6,6.2,2.0,193.6,16.8,7,,2017-02-01T06:35:02,2017-02-01T17:37:24,0.15,Clear,Clear conditions throughout the day.,clear-day,"42618099999,41915099999,42515099999,41891099999,remote,42516099999",2953,2953,1.06,2588,1,25.4,12.8,19.1,19.9,0.0,0.0,0.0,7.1,3.24
01-02-2018,1097,"24.8990,91.8711",74.2,48.5,62.7,74.2,48.5,62.7,55.4,78.2,0.0,0,0.0,,,,,5.8,144.8,1012.2,19.7,2.0,162.9,14.0,6,,2018-02-01T06:35:09,2018-02-01T17:37:14,0.52,Clear,Clear conditions throughout the day.,clear-day,"42618099999,41915099999,42515099999,41891099999,remote,42516099999",3318,3318,1.22,2953,1,22.1,12.0,17.3,17.5,0.0,0.0,0.0,6.2,2.65
01-02-2019,1462,"24.8990,91.8711",83.0,48.5,64.2,81.1,48.5,64.0,46.9,56.6,0.0,0,0.0,,,,,7.4,71.2,1017.5,25.0,1.8,216.0,18.8,8,,2019-02-01T06:35:16,2019-02-01T17:37:04,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42618099999,42515099999,remote,42516099999",3683,3683,0.94,3318,1,27.1,11.2,19.2,19.3,0.0,0.0,0.0,7.6,3.36
01-02-2020,1827,"24.8990,91.8711",73.1,44.0,58.9,73.1,44.0,58.9,52.5,80.5,0.0,0,0.0,,,,,5.8,348.1,1015.9,16.6,1.3,189.6,16.4,7,,2020-02-01T06:35:23,2020-02-01T17:36:54,0.24,Clear,Clear conditions throughout the day.,clear-day,"42618099999,42515099999,remote,42516099999",4048,4048,1.0,3683,2,22.9,12.3,17.2,17.5,0.0,0.0,0.0,7.4,2.8
01-02-2021,3167,"24.8990,91.8711",71.9,45.0,57.1,71.9,41.9,56.7,44.1,64.0,0.0,0,0.0,,,,,6.7,200.7,1017.9,7.2,1.3,188.5,16.2,7,,2021-02-01T06:35:03,2021-02-01T17:37:27,0.62,Clear,Clear conditions throughout the day.,clear-day,"42618099999,42515099999,remote,42516099999",4414,4414,1.0,4049,0,22.3,9.4,15.8,15.7,0.0,0.0,0.0,6.0,3.07
01-02-2022,3532,"24.8990,91.8711",74.4,45.8,58.3,74.4,44.5,58.2,47.8,69.8,0.052,100,16.67,rain,0.0,0.0,14.1,9.6,79.9,1011.3,24.3,11.5,189.7,16.3,8,10.0,2022-02-01T06:35:10,2022-02-01T17:37:17,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42618099999,42515099999,remote,42516099999",4779,4779,1.19,4414,53,20.1,11.0,16.2,16.5,5.7,5.7,13.0,6.2,2.24
01-02-2022,3897,"24.8990,91.8711",74.4,45.8,58.3,74.4,44.5,58.2,47.8,69.8,0.052,100,16.67,rain,0.0,0.0,14.1,9.6,79.9,1011.3,24.3,11.5,189.7,16.3,8,10.0,2022-02-01T06:35:10,2022-02-01T17:37:17,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42618099999,42515099999,remote,42516099999",4779,4779,1.19,4414,53,20.1,11.0,16.2,16.5,5.7,5.7,13.0,6.2,2.24
01-02-2023,4262,"24.8990,91.8711",83.6,51.9,69.5,82.2,51.9,69.4,54.3,61.1,0.0,0,0.0,,0.0,0.0,7.8,6.0,95.7,1011.8,69.8,10.5,202.5,17.6,7,10.0,2023-02-01T06:35:17,2023-02-01T17:37:07,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42618099999,41915099999,42515099999,41891099999,remote,42516099999",5144,5144,0.86,4779,3,25.2,14.9,20.5,22.2,0.0,0.0,0.0,4.1,2.16
01-03-2013,273,"24.8990,91.8711",90.4,61.4,74.0,86.8,61.4,73.1,48.7,44.4,0.0,0,0.0,,,,,6.7,289.8,1011.0,1.7,2.0,260.9,22.6,9,,2013-03-01T06:15:21,2013-03-01T17:54:43,0.62,Clear,Clear conditions throughout the day.,clear-day,"41915099999,41891099999,remote",1520,1520,0.97,1155,0,30.0,14.6,22.1,22.9,0.0,0.0,0.0,7.7,4.51
01-03-2014,638,"24.8990,91.8711",86.8,58.4,72.9,85.7,58.4,72.7,57.9,63.2,0.0,0,0.0,,,,,11.4,36.3,1014.6,22.8,2.6,250.2,21.5,9,,2014-03-01T06:15:34,2014-03-01T17:54:35,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41915099999,41891099999,remote",1885,1885,0.94,1520,3,25.7,14.8,20.1,21.5,0.0,0.0,0.0,9.0,2.81
01-03-2015,1976,"24.8990,91.8711",90.9,68.1,78.1,92.2,68.1,78.9,65.7,68.1,0.0,0,0.0,,,,,6.9,306.2,1012.8,57.8,3.0,167.1,14.5,7,,2015-03-01T06:15:48,2015-03-01T17:54:28,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41915099999,41891099999,remote",2250,2250,0.94,1885,2,30.7,18.7,24.7,27.9,0.0,0.0,0.0,7.4,3.74
01-03-2016,2342,"24.8990,91.8711",90.4,63.4,76.5,88.9,63.4,76.1,58.2,56.5,0.008,100,4.17,rain,,,,6.8,170.4,1014.9,4.6,2.8,236.6,20.4,8,,2016-03-01T06:15:06,2016-03-01T17:54:51,0.74,Rain,Clear conditions throughout the day with afternoon rain.,rain,"42618099999,41915099999,42515099999,41891099999,remote,42516099999",2616,2616,0.99,2251,0,28.2,16.3,21.9,23.1,0.0,0.0,0.0,8.4,3.95
01-03-2017,2707,"24.8990,91.8711",85.9,55.3,70.4,84.2,55.3,70.2,56.1,64.7,0.0,0,0.0,,,,,6.6,81.1,1012.7,4.7,2.5,229.3,20.0,8,,2017-03-01T06:15:18,2017-03-01T17:54:43,0.09,Clear,Clear conditions throughout the day.,clear-day,"42618099999,41915099999,42515099999,41891099999,remote,42516099999",2981,2981,1.06,2616,1,26.1,14.9,20.4,22.1,0.0,0.0,0.0,6.0,3.61
01-03-2018,1125,"24.8990,91.8711",85.9,62.5,73.9,84.7,62.5,74.2,62.4,69.3,0.0,0,0.0,,,,,4.7,247.1,1010.7,1.5,2.5,230.3,19.9,8,,2018-03-01T06:15:32,2018-03-01T17:54:35,0.47,Clear,Clear conditions throughout the day.,clear-day,"42618099999,41915099999,42515099999,41891099999,remote,42516099999",3346,3346,1.19,2981,0,27.4,16.7,22.2,24.1,0.0,0.0,0.0,7.1,3.42
01-03-2019,1490,"24.8990,91.8711",78.3,40.7,62.0,78.3,36.7,61.9,49.2,67.0,0.004,100,4.17,rain,,,,8.1,292.7,1017.4,10.9,1.8,259.1,22.4,9,,2019-03-01T06:15:46,2019-03-01T17:54:28,0.82,Rain,Clear conditions throughout the day with early morning rain.,rain,"42618099999,42515099999,remote,42516099999",3711,3711,1.47,3346,2,23.1,13.0,18.0,18.7,0.0,0.0,0.0,7.3,3.48
01-03-2020,1856,"24.8990,91.8711",88.2,57.8,73.1,85.1,57.8,72.8,57.3,61.6,0.0,0,0.0,,,,,5.8,190.2,1011.6,7.6,2.9,252.7,21.7,9,,2020-03-01T06:15:05,2020-03-01T17:54:52,0.22,Clear,Clear conditions throughout the day.,clear-day,"42618099999,41915099999,42515099999,41891099999,remote,42516099999",4077,4077,1.0,3712,0,28.6,14.3,21.6,22.9,0.0,0.0,0.0,7.6,4.16
01-03-2021,3195,"24.8990,91.8711",92.0,63.1,76.6,92.4,63.1,77.1,64.5,69.3,0.0,0,0.0,,,,,8.9,221.2,1010.9,39.2,2.3,215.9,18.8,8,,2021-03-01T06:15:19,2021-03-01T17:54:45,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42618099999,41915099999,42515099999,41891099999,remote,42516099999",4442,4442,0.97,4077,51,30.6,18.4,24.2,26.8,0.9,0.9,4.0,5.9,3.95
01-03-2022,3560,"24.8990,91.8711",86.6,54.8,69.3,83.6,54.8,68.8,48.9,51.8,0.0,0,0.0,,0.0,0.0,14.1,10.3,111.9,1014.8,14.7,11.6,222.5,18.4,9,10.0,2022-03-01T06:15:33,2022-03-01T17:54:38,0.95,Clear,Clear conditions throughout the day.,clear-day,"42618099999,42515099999,remote,42516099999",4807,4807,0.94,4442,51,26.7,14.1,20.4,21.7,0.1,0.1,1.0,6.9,3.66
01-03-2022,3925,"24.8990,91.8711",86.6,54.8,69.3,83.6,54.8,68.8,48.9,51.8,0.0,0,0.0,,0.0,0.0,14.1,10.3,111.9,1014.8,14.7,11.6,222.5,18.4,9,10.0,2022-03-01T06:15:33,2022-03-01T17:54:38,0.95,Clear,Clear conditions throughout the day.,clear-day,"42618099999,42515099999,remote,42516099999",4807,4807,0.94,4442,51,26.7,14.1,20.4,21.7,0.1,0.1,1.0,6.9,3.66
01-03-2023,4290,"24.8990,91.8711",90.6,54.2,73.3,86.6,54.2,72.3,45.7,41.4,0.0,0,0.0,,0.0,0.0,14.5,11.4,96.8,1016.9,0.1,11.3,265.8,22.9,9,10.0,2023-03-01T06:15:46,2023-03-01T17:54:31,0.29,Clear,Clear conditions throughout the day.,clear-day,"42618099999,41915099999,42515099999,41891099999,remote,42516099999",5172,5172,0.87,4807,0,28.9,14.4,22.0,23.1,0.0,0.0,0.0,7.0,4.12
01-04-2013,304,"24.8990,91.8711",96.0,73.5,83.5,99.1,73.5,85.3,67.1,60.2,0.174,100,66.67,rain,,,,8.1,210.0,1009.0,12.1,2.9,268.3,23.1,9,,2013-04-01T05:44:17,2013-04-01T18:08:51,0.67,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,rain,"41915099999,41891099999,remote",1551,1551,1.28,1186,55,31.0,20.6,24.9,28.5,5.0,5.0,12.0,8.1,4.3
01-04-2014,669,"24.8990,91.8711",100.5,71.3,84.6,101.1,71.3,85.9,65.1,55.6,0.012,100,12.5,rain,,,,8.9,226.1,1004.9,14.8,2.8,270.0,23.2,9,,2014-04-01T05:44:32,2014-04-01T18:08:45,0.05,Rain,Clear conditions throughout the day with early morning rain.,rain,"41915099999,41891099999,remote",1916,1916,0.94,1551,51,33.0,19.7,25.3,27.5,0.4,0.4,3.0,9.9,4.75
01-04-2015,2007,"24.8990,91.8711",94.9,68.1,80.0,96.6,68.1,81.1,67.4,69.1,0.131,100,45.83,rain,,,,10.3,195.1,1010.4,28.7,2.8,278.0,24.0,9,,2015-04-01T05:44:47,2015-04-01T18:08:39,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"41915099999,41891099999,remote",2281,2281,2.81,1916,63,27.2,19.8,22.5,26.2,32.3,32.3,22.0,10.2,2.65
01-04-2016,2373,"24.8990,91.8711",81.2,66.2,73.2,84.1,66.2,73.5,67.5,83.2,0.126,100,8.33,rain,,,,10.2,91.7,1010.8,74.8,2.5,112.6,9.9,4,,2016-04-01T05:44:00,2016-04-01T18:08:58,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42618099999,41915099999,42515099999,41891099999,remote,42516099999",2647,2647,1.88,2282,55,24.6,18.2,21.4,24.2,6.7,6.7,11.0,8.9,1.88
01-04-2017,2738,"24.8990,91.8711",87.2,69.1,77.0,98.9,69.1,79.6,73.6,90.0,0.157,100,8.33,rain,,,41.4,15.8,175.6,1008.6,33.8,1.9,264.9,22.8,9,,2017-04-01T05:44:15,2017-04-01T18:08:51,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42618099999,41915099999,42515099999,41891099999,remote,42516099999",3012,3012,9.67,2647,65,23.7,20.3,21.6,25.0,111.2,111.2,24.0,10.5,1.49
01-04-2018,1156,"24.8990,91.8711",91.2,65.9,78.2,94.1,65.9,79.1,64.8,65.6,0.008,100,4.17,rain,,,,9.0,68.8,1009.9,76.0,2.3,197.6,17.0,7,,2018-04-01T05:44:30,2018-04-01T18:08:45,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42618099999,41915099999,42515099999,41891099999,remote,42516099999",3377,3377,1.31,3012,1,31.4,19.1,25.0,27.7,0.0,0.0,0.0,7.6,4.97
