system:index,City,SoilWaterContent_33kPa,.geo
1_2_0,Dhaka,30.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,Chittagong,29.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
